trade_date,nav_official_compact,nav_000906.SH,nav_922
20200102,100000.0,100000.0,100000.0
20200103,100000.0,99930.87445104292,99967.80708825514
20200106,100000.0,99884.09264365394,99615.6265770816
20200107,100000.0,100740.17383809057,100424.91671937743
20200108,99083.58425,99523.57702506105,99253.63704256376
20200109,99510.22425000001,100805.94773403661,100505.99759774648
20200110,99545.94425000002,100707.28505460112,100126.82298577327
20200113,99499.41425000002,101808.38933799899,100829.57393394197
20200114,99744.92425,101472.89547945342,100934.39162018536
20200115,99179.16425,100993.58523716155,100413.95478577407
20200116,98496.19425000002,100658.62551389872,99889.32632967734
20200117,98176.82425,100686.88879597097,99931.33969386447
20200120,98512.52425000003,101599.34420668797,100051.23807489702
20200121,97723.72425000003,100005.06051881239,98211.7933290498
20200122,97435.99425000002,100557.47938072612,98555.69060145985
20200123,95948.37425000002,97330.4726197849,95890.63639003367
20200203,89339.15425000002,89468.68957709335,87348.64284818838
20200204,91564.57425000002,91633.00574259672,89176.8270752474
20200205,91842.12425000002,92986.29897111961,90208.69461485904
20200206,92365.69425000002,94999.43466093791,91339.86958684881
20200207,92549.34425000001,95197.45384502149,91650.7953402139
20200210,92412.75425,95766.3409603936,93044.79670670541
20200211,92667.23425000001,96314.08292642992,93363.32281022948
20200212,92842.41425,97339.03530395601,93957.83591458321
20200213,92344.16425000002,96680.0775615825,93382.87228233015
20200214,92422.85425,97225.5049413938,94089.09339037405
20200217,93332.29425000004,99642.26518880673,96040.75044885997
20200218,92998.77425000002,99572.41277534123,96239.47246140982
20200219,92901.07425,99202.74527180142,95855.46191235239
20200220,93789.22425000003,101374.34660203692,97213.10588952135
20200221,93760.03425000001,101806.89889865342,97581.59000896828
20200224,92903.99425000002,101863.82376986442,96902.39871765522
20200225,91818.06425000002,101842.57032505894,95936.05276814538
20200226,92151.06425000002,100223.9935771609,95890.6992500726
20200227,92520.53425,100487.42506045273,96012.68058421263
20200228,91084.95425000001,96486.8178716159,93034.2805079234
20200302,92857.43425000002,99775.72742434093,96703.61955961543
20200303,93329.26425000001,100411.93761153058,96685.75587946731
20200304,93934.29425,100875.1577167497,97931.52898829982
20200305,94737.23425000002,102932.28339345873,99145.5063465424
20200306,94287.03425000001,101515.80434716372,97969.16500795931
20200309,92855.51425000001,97864.92544682894,94933.56658217468
20200310,93366.88425,100098.4185557496,96625.19737516479
20200311,92843.05425,98722.13731938977,95780.65418013903
20200312,92414.37425000002,96875.43524683474,94065.4280143621
20200313,91143.21425,95692.8946057476,92589.72431229868
20200316,90137.34425000002,91478.8994537136,89717.30769024717
20200317,90078.61425000001,91198.98503283189,89391.44124854324
20200318,89022.85425,89440.86681896559,88097.33877025048
20200319,87901.75425000001,88746.06511164161,87208.12065984469
20200320,88692.33425000001,90195.42927039323,88420.30793561562
20200323,87279.27425000003,86961.9100971392,85864.76734106679
20200324,88916.25425,89132.50923540094,87986.1579337048
20200325,89728.65425000002,91458.41692581099,89810.90914545706
20200326,88927.69425,90781.64916746481,88930.22285669591
20200327,89465.53425000001,90874.32439228804,89581.73572996756
20200330,88891.36425,89727.08807431931,88428.83404271124
20200331,88854.54425,90010.07147868103,88275.781277066
20200401,88079.19425,89708.09415024583,87738.80796650989
20200402,88758.89425000003,91368.18110233042,89017.52830755417
20200403,88610.73425000002,90798.84061439875,88547.71666266053
20200407,89513.34425000001,93065.30694056489,90184.1591987631
20200408,89142.71827000001,92762.03924407558,90108.11283805575
20200409,89319.19827000002,93215.77523587304,90356.30570122694
20200410,89225.73827,92276.08076125474,89414.55088466576
20200413,89657.30827000002,91809.29424760162,89181.35728396058
20200414,89969.74827,93668.59897600209,90317.53248631812
20200415,89541.33827000001,93060.66491949974,89821.53106339542
20200416,90103.61827000002,93366.93001432804,89546.1626624941
20200417,90328.37827,94054.16939393815,89810.99057778019
20200420,90156.90827,94591.71873720874,90330.95310462518
20200421,89554.22827,93590.41698895277,89784.03505018624
20200422,89845.32827000001,94359.53325019668,90189.23371826773
20200423,89406.03827000002,94050.3496842361,89909.41939825084
20200424,89123.60827000001,93080.3875435981,89366.10008103946
20200427,89508.74827000001,93520.72977196646,89890.05136308067
20200428,89106.02827000001,93836.42575023981,89345.79485983461
20200429,90383.51827000003,94166.50667081738,90220.38372482162
20200430,91233.18827000003,95574.67633420938,91120.14803539164
