rebal_date,sel_date,ts_code,name,dv_ttm,volatility,score,weight
20200108,20200107,601988.SH,中国银行,4.95,0.1418,-0.1418,0.1036
20200108,20200107,601288.SH,农业银行,4.67,0.1419,-0.1419,0.1025
20200108,20200107,601857.SH,中国石油,2.74,0.1439,-0.1439,0.0283
20200108,20200107,600023.SH,浙能电力,4.5,0.1526,-0.1526,0.1059
20200108,20200107,002039.SZ,黔源电力,2.01,0.1558,-0.1558,0.044
20200108,20200107,600377.SH,宁沪高速,4.07,0.1632,-0.1632,0.0853
20200108,20200107,601158.SH,重庆水务,4.94,0.1656,-0.1656,0.1108
20200108,20200107,601006.SH,大秦铁路,5.91,0.1669,-0.1669,0.1079
20200108,20200107,600900.SH,长江电力,3.74,0.169,-0.169,0.0837
20200108,20200107,002394.SZ,联发股份,6.25,0.1697,-0.1697,0.0837
20200108,20200107,600508.SH,上海能源,2.94,0.1715,-0.1715,0.046
20200108,20200107,600033.SH,福建高速,4.81,0.1742,-0.1742,0.0983
20200408,20200407,601288.SH,农业银行,5.08,0.1344,-0.1344,0.0995
20200408,20200407,601988.SH,中国银行,5.24,0.137,-0.137,0.098
20200408,20200407,600900.SH,长江电力,3.94,0.1674,-0.1674,0.0787
20200408,20200407,601006.SH,大秦铁路,6.98,0.1729,-0.1729,0.1136
20200408,20200407,601158.SH,重庆水务,5.31,0.1732,-0.1732,0.1063
20200408,20200407,601857.SH,中国石油,3.59,0.1755,-0.1755,0.033
20200408,20200407,600023.SH,浙能电力,5.28,0.183,-0.183,0.1108
20200408,20200407,002039.SZ,黔源电力,2.18,0.1862,-0.1862,0.0426
20200408,20200407,600033.SH,福建高速,5.43,0.1936,-0.1936,0.0991
20200408,20200407,600508.SH,上海能源,3.47,0.2005,-0.2005,0.0485
20200408,20200407,600377.SH,宁沪高速,4.71,0.204,-0.204,0.088
20200408,20200407,002394.SZ,联发股份,6.86,0.2146,-0.2146,0.0819
20200707,20200706,601158.SH,重庆水务,4.67,0.1631,-0.1631,0.1178
20200707,20200706,600900.SH,长江电力,3.52,0.1744,-0.1744,0.0814
20200707,20200706,002039.SZ,黔源电力,1.95,0.1781,-0.1781,0.0401
20200707,20200706,601006.SH,大秦铁路,6.85,0.1868,-0.1868,0.129
20200707,20200706,601857.SH,中国石油,3.04,0.1935,-0.1935,0.0378
20200707,20200706,002394.SZ,联发股份,5.27,0.208,-0.208,0.0873
20200707,20200706,600508.SH,上海能源,2.59,0.2109,-0.2109,0.049
20200707,20200706,600377.SH,宁沪高速,4.44,0.2114,-0.2114,0.0959
20200707,20200706,601328.SH,交通银行,5.29,0.1561,-0.1561,0.1139
20200707,20200706,600015.SH,华夏银行,5.92,0.1719,-0.1719,0.0534
20200707,20200706,600028.SH,中国石化,7.26,0.1754,-0.1754,0.1376
20200707,20200706,601985.SH,中国核电,2.65,0.1873,-0.1873,0.0569
20201015,20201014,601328.SH,交通银行,6.91,0.1633,-0.1633,0.1161
20201015,20201014,600028.SH,中国石化,4.85,0.1686,-0.1686,0.1229
20201015,20201014,601006.SH,大秦铁路,7.36,0.1718,-0.1718,0.1137
20201015,20201014,601158.SH,重庆水务,4.88,0.1786,-0.1786,0.1008
20201015,20201014,600900.SH,长江电力,3.45,0.1825,-0.1825,0.0674
20201015,20201014,600015.SH,华夏银行,4.02,0.1835,-0.1835,0.0504
20201015,20201014,600377.SH,宁沪高速,4.88,0.2096,-0.2096,0.0865
20201015,20201014,002039.SZ,黔源电力,2.03,0.2121,-0.2121,0.0343
20201015,20201014,601985.SH,中国核电,2.65,0.2173,-0.2173,0.0459
20201015,20201014,600033.SH,福建高速,1.86,0.169,-0.169,0.0965
20201015,20201014,600795.SH,国电电力,2.46,0.1951,-0.1951,0.07
20201015,20201014,600023.SH,浙能电力,5.33,0.2032,-0.2032,0.0955
20210108,20210107,601328.SH,交通银行,7.0,0.1628,-0.1628,0.1183
20210108,20210107,600033.SH,福建高速,1.91,0.1714,-0.1714,0.0996
20210108,20210107,601006.SH,大秦铁路,7.37,0.1741,-0.1741,0.1145
20210108,20210107,601158.SH,重庆水务,5.06,0.1751,-0.1751,0.1052
20210108,20210107,600028.SH,中国石化,6.31,0.1778,-0.1778,0.1176
20210108,20210107,600015.SH,华夏银行,3.99,0.1892,-0.1892,0.0504
20210108,20210107,600900.SH,长江电力,3.42,0.1915,-0.1915,0.0674
20210108,20210107,600377.SH,宁沪高速,4.98,0.2042,-0.2042,0.0888
20210108,20210107,600023.SH,浙能电力,5.62,0.2129,-0.2129,0.1012
20210108,20210107,600795.SH,国电电力,2.3,0.213,-0.213,0.0658
20210108,20210107,002039.SZ,黔源电力,2.16,0.229,-0.229,0.0366
20210108,20210107,601857.SH,中国石油,3.61,0.1981,-0.1981,0.0346
20210408,20210407,600033.SH,福建高速,1.85,0.1277,-0.1277,0.1012
20210408,20210407,601328.SH,交通银行,6.47,0.1495,-0.1495,0.1145
20210408,20210407,601006.SH,大秦铁路,7.01,0.1539,-0.1539,0.114
20210408,20210407,600377.SH,宁沪高速,4.69,0.1771,-0.1771,0.0876
20210408,20210407,601857.SH,中国石油,3.61,0.179,-0.179,0.0363
20210408,20210407,600015.SH,华夏银行,3.91,0.1866,-0.1866,0.0517
20210408,20210407,600023.SH,浙能电力,5.17,0.2016,-0.2016,0.0975
20210408,20210407,600900.SH,长江电力,3.14,0.2084,-0.2084,0.0648
20210408,20210407,600649.SH,城投控股,1.43,0.173,-0.173,0.0631
20210408,20210407,600170.SH,上海建工,4.67,0.1797,-0.1797,0.0871
20210408,20210407,600897.SH,厦门空港,2.86,0.1943,-0.1943,0.1184
20210408,20210407,600820.SH,隧道股份,3.88,0.1954,-0.1954,0.0637
20210707,20210706,600033.SH,福建高速,5.64,0.1301,-0.1301,0.118
20210707,20210706,601328.SH,交通银行,6.42,0.1511,-0.1511,0.1305
20210707,20210706,600649.SH,城投控股,1.53,0.1528,-0.1528,0.0776
