rebal_date,sel_date,ts_code,name,dv_ttm,volatility,score,weight
20200108,20200107,601088.SH,中国神华,4.68,0.2167,-0.2167,0.1577
20200108,20200107,002003.SZ,伟星股份,5.56,0.2154,-0.2154,0.1
20200108,20200107,600688.SH,上海石化,6.07,0.2077,-0.2077,0.0906
20200108,20200107,000541.SZ,佛山照明,3.1,0.2168,-0.2168,0.0838
20200108,20200107,000429.SZ,粤高速Ａ,6.71,0.1848,-0.1848,0.0783
20200108,20200107,000726.SZ,鲁泰Ａ,5.44,0.1775,-0.1775,0.0762
20200108,20200107,601158.SH,重庆水务,4.94,0.1656,-0.1656,0.0708
20200108,20200107,601328.SH,交通银行,5.27,0.1649,-0.1649,0.0703
20200108,20200107,600028.SH,中国石化,7.24,0.1849,-0.1849,0.0693
20200108,20200107,601006.SH,大秦铁路,5.91,0.1669,-0.1669,0.069
20200108,20200107,600023.SH,浙能电力,4.5,0.1526,-0.1526,0.0677
20200108,20200107,601991.SH,大唐发电,3.95,0.1869,-0.1869,0.0664
20200408,20200407,601088.SH,中国神华,5.45,0.2268,-0.2268,0.1718
20200408,20200407,000429.SZ,粤高速Ａ,8.02,0.1933,-0.1933,0.0873
20200408,20200407,000541.SZ,佛山照明,3.41,0.235,-0.235,0.0861
20200408,20200407,601006.SH,大秦铁路,6.98,0.1729,-0.1729,0.076
20200408,20200407,600028.SH,中国石化,8.43,0.1743,-0.1743,0.0754
20200408,20200407,601991.SH,大唐发电,4.78,0.2066,-0.2066,0.0751
20200408,20200407,600023.SH,浙能电力,5.28,0.183,-0.183,0.0741
20200408,20200407,000726.SZ,鲁泰Ａ,5.59,0.2137,-0.2137,0.0731
20200408,20200407,601169.SH,北京银行,5.87,0.1576,-0.1576,0.0719
20200408,20200407,601328.SH,交通银行,5.76,0.1516,-0.1516,0.0717
20200408,20200407,601158.SH,重庆水务,5.31,0.1732,-0.1732,0.0711
20200408,20200407,600033.SH,福建高速,5.43,0.1936,-0.1936,0.0663
20200707,20200706,600177.SH,雅戈尔,2.95,0.2088,-0.2088,0.1164
20200707,20200706,600028.SH,中国石化,7.26,0.1754,-0.1754,0.1028
20200707,20200706,601006.SH,大秦铁路,6.85,0.1868,-0.1868,0.0964
20200707,20200706,601158.SH,重庆水务,4.67,0.1631,-0.1631,0.088
20200707,20200706,601991.SH,大唐发电,4.24,0.2268,-0.2268,0.0859
20200707,20200706,601328.SH,交通银行,5.29,0.1561,-0.1561,0.0851
20200707,20200706,601169.SH,北京银行,5.1,0.1751,-0.1751,0.0806
20200707,20200706,600012.SH,皖通高速,4.49,0.226,-0.226,0.0718
20200707,20200706,600377.SH,宁沪高速,4.44,0.2114,-0.2114,0.0717
20200707,20200706,000709.SZ,河钢股份,4.35,0.2185,-0.2185,0.0692
20200707,20200706,600170.SH,上海建工,4.02,0.2108,-0.2108,0.067
20200707,20200706,002394.SZ,联发股份,5.27,0.208,-0.208,0.0652
20201015,20201014,000429.SZ,粤高速Ａ,6.15,0.2153,-0.2153,0.0956
20201015,20201014,600028.SH,中国石化,4.85,0.1686,-0.1686,0.093
20201015,20201014,000726.SZ,鲁泰Ａ,1.3,0.2131,-0.2131,0.091
20201015,20201014,601328.SH,交通银行,6.91,0.1633,-0.1633,0.0878
20201015,20201014,000899.SZ,赣能股份,2.26,0.2271,-0.2271,0.0867
20201015,20201014,600897.SH,厦门空港,2.91,0.226,-0.226,0.0865
20201015,20201014,601006.SH,大秦铁路,7.36,0.1718,-0.1718,0.086
20201015,20201014,601229.SH,上海银行,4.83,0.1876,-0.1876,0.0817
20201015,20201014,601158.SH,重庆水务,4.88,0.1786,-0.1786,0.0763
20201015,20201014,600033.SH,福建高速,1.86,0.169,-0.169,0.073
20201015,20201014,600023.SH,浙能电力,5.33,0.2032,-0.2032,0.0723
