ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000300.SH,20200102,4152.2408,4121.3487,4172.6555,4121.3487,4096.5821,55.6587,1.3587,182116772.0,270105532.028
000300.SH,20200103,4144.9649,4161.2185,4164.2989,4131.864,4152.2408,-7.2759,-0.1752,142826244.0,215216288.331
000300.SH,20200106,4129.2954,4120.5211,4170.6384,4102.3796,4144.9649,-15.6695,-0.378,175309953.0,250182071.294
000300.SH,20200107,4160.2274,4137.4019,4161.2504,4135.0972,4129.2954,30.932,0.7491,139489031.0,196389059.715
000300.SH,20200108,4112.3172,4139.6315,4149.813,4101.9801,4160.2274,-47.9102,-1.1516,167585850.0,212406263.857
000300.SH,20200109,4164.3697,4145.5345,4165.6574,4143.592,4112.3172,52.0525,1.2658,136886324.0,200150352.942
000300.SH,20200110,4163.1849,4177.5777,4180.9771,4148.4817,4164.3697,-1.1848,-0.0285,113031719.0,177827413.709
000300.SH,20200113,4203.9883,4166.9254,4203.9883,4148.6007,4163.1849,40.8034,0.9801,119691982.0,199795489.709
000300.SH,20200114,4189.8862,4215.1578,4223.5078,4188.0809,4203.9883,-14.1021,-0.3354,129320783.0,196221263.396
000300.SH,20200115,4166.7344,4186.881,4193.8686,4150.8799,4189.8862,-23.1518,-0.5526,104633136.0,163081930.622
000300.SH,20200116,4149.0434,4174.8172,4175.2938,4142.1795,4166.7344,-17.691,-0.4246,100267642.0,156242505.812
000300.SH,20200117,4154.853,4162.1939,4177.0282,4141.6448,4149.0434,5.8096,0.14,98725682.0,166591591.594
000300.SH,20200120,4185.8304,4170.7365,4185.9629,4149.4879,4154.853,30.9774,0.7456,122409147.0,202692287.442
000300.SH,20200121,4114.3085,4165.0203,4165.0203,4113.3251,4185.8304,-71.5219,-1.7087,130527507.0,204586880.494
000300.SH,20200122,4131.9311,4093.8009,4141.1772,4046.4866,4114.3085,17.6226,0.4283,126758763.0,208136150.792
000300.SH,20200123,4003.9013,4093.3229,4103.5244,3972.3933,4131.9311,-128.0298,-3.0985,160357603.0,250409357.701
000300.SH,20200203,3688.3578,3639.9089,3732.1572,3639.9089,4003.9013,-315.5435,-7.8809,157559647.0,243303105.386
000300.SH,20200204,3785.6376,3652.0035,3786.8629,3652.0035,3688.3578,97.2798,2.6375,213933328.0,298165767.621
000300.SH,20200205,3828.5272,3801.099,3866.0108,3781.613,3785.6376,42.8896,1.133,174925524.0,264042920.866
000300.SH,20200206,3899.7751,3841.7537,3914.915,3806.9601,3828.5272,71.2479,1.861,176462235.0,262820088.452
000300.SH,20200207,3899.8693,3879.5531,3899.8837,3849.7127,3899.7751,0.0942,0.0024,151731759.0,237508816.256
000300.SH,20200210,3916.0052,3872.3738,3920.1667,3861.0066,3899.8693,16.1359,0.4138,148406969.0,229625441.896
000300.SH,20200211,3952.4643,3926.4204,3970.5221,3915.7077,3916.0052,36.4591,0.931,143441674.0,219307119.361
000300.SH,20200212,3984.4325,3945.6663,3984.4325,3940.6667,3952.4643,31.9682,0.8088,126710321.0,200776706.55
000300.SH,20200213,3959.9188,3985.8757,3999.5495,3950.1422,3984.4325,-24.5137,-0.6152,145001843.0,228605964.793
000300.SH,20200214,3987.7342,3954.234,4001.5627,3954.0233,3959.9188,27.8154,0.7024,143239803.0,222895073.625
000300.SH,20200217,4077.4241,3999.6511,4077.4464,3999.6511,3987.7342,89.6899,2.2491,182778969.0,273067817.278
000300.SH,20200218,4057.5108,4069.8315,4076.388,4027.7859,4077.4241,-19.9133,-0.4884,163236220.0,242552517.334
000300.SH,20200219,4051.3107,4049.5862,4085.1704,4042.8451,4057.5108,-6.2001,-0.1528,169046441.0,257554535.73
000300.SH,20200220,4144.6561,4062.8968,4148.5287,4055.8105,4051.3107,93.3454,2.3041,212232624.0,310835589.162
000300.SH,20200221,4149.4903,4134.8747,4184.4379,4130.1677,4144.6561,4.8342,0.1166,217213604.0,326564003.559
000300.SH,20200224,4132.8388,4131.8364,4149.0102,4097.1753,4149.4903,-16.6515,-0.4013,212869303.0,326387800.606
