code,rows,start,end,hold_cagr,hold_mdd,hold_sharpe,swing_cagr,swing_mdd,swing_sharpe,swing_trades,swing_win,swA_cagr,swA_mdd,swA_sharpe,swA_cagr_diff,swA_mdd_diff,swA_tim,swA_hedges,swA_hedge_ok,swA_hedge_ok_ratio,swA_cls,swB_cagr,swB_mdd,swB_sharpe,swB_cagr_diff,swB_mdd_diff,swB_tim,swB_hedges,swB_hedge_ok,swB_hedge_ok_ratio,swB_cls
000001.SZ,3515,20120228,20260821,0.06710381836557189,-0.6234888614558287,0.2915253107759472,-0.0041020218856056,-0.565053425464568,-0.018857015316470598,18,0.5,-0.010593577974852941,-0.5650534254645683,-0.048400446294533356,-0.07769739634042483,0.05843543599126044,0.42446657183499287,18,5,0.2777777777777778,中性,0.04649225111688171,-0.6517743616758602,0.22034378059014653,-0.020611567248690177,-0.028285500220031512,0.8512091038406828,28,8,0.2857142857142857,中性
000002.SZ,3376,20120215,20260821,-0.031201308065987754,-0.9050801032521012,0.03486655800822117,0.02370485640558706,-0.5803101653460936,0.14310515216856612,16,0.5625,0.029695329159187045,-0.5803101653460937,0.16535900902758374,0.0608966372251748,0.3247699379060075,0.5029620853080569,15,6,0.4,PASS,-0.014861345317855656,-0.8364529812494992,0.053238039205451324,0.016339962748132097,0.06862712200260201,0.7766587677725119,30,14,0.4666666666666667,PASS
000005.SZ,2757,20120531,20240305,-0.1158058913849187,-0.9582806573957017,-0.15044754954447812,-0.12025678749513868,-0.9590599422316595,-0.3649191175885052,18,0.1111111111111111,-0.12319312250547165,-0.9590599422316595,-0.37602622229133414,-0.007387231120552951,-0.0007792848359577942,0.4726151614073268,19,10,0.5263157894736842,中性,-0.12408246576782334,-0.9494805579456385,-0.2636523354405601,-0.008276574382904633,0.008800099450063215,0.7812840043525572,28,13,0.4642857142857143,中性
000006.SZ,3408,20120215,20260821,0.07152688247850691,-0.7812960502632553,0.336304255745561,-0.058394896463753176,-0.9212262233169198,-0.06406077623909358,18,0.3333333333333333,-0.050096898676401325,-0.9212262233169198,-0.03725066017257662,-0.12162378115490824,-0.1399301730536645,0.5005868544600939,18,6,0.3333333333333333,FAIL,-0.0016837378933657332,-0.9223880728725586,0.15730601075215475,-0.07321062037187265,-0.1410920226093033,0.8661971830985915,28,6,0.21428571428571427,FAIL
000008.SZ,3253,20120328,20260821,0.05647900573356002,-0.8659527523912434,0.29334414277034293,-0.00394893680720787,-0.8406243001305991,0.03205540495518479,16,0.3125,-0.0028841185833027305,-0.8406243001305992,0.03933694867977712,-0.05936312431686275,0.025328452260644174,0.3971718413771903,16,7,0.4375,FAIL,-0.04377280686946927,-0.9253402146144183,-0.006420772241045945,-0.10025181260302929,-0.059387462223174925,0.8235474946203505,31,6,0.1935483870967742,FAIL
000009.SZ,3429,20120215,20260821,0.013583183960893308,-0.7929104900819886,0.20961018434247639,-0.01956266604480328,-0.793005852990279,0.04224118235552576,20,0.4,-0.01818165519915671,-0.793005852990279,0.04655478732056848,-0.03176483916005002,-9.53629082904861e-05,0.41673957421988916,19,8,0.42105263157894735,FAIL,-0.01444445248942583,-0.8100387202589702,0.11579098700481502,-0.028027636450319138,-0.017128230176981618,0.7699037620297463,36,14,0.3888888888888889,中性
000012.SZ,3487,20120215,20260821,-0.027252551487286225,-0.7015588384687979,0.06713412010407895,-0.10698746645882962,-0.8960711886490061,-0.3025524589184463,19,0.3157894736842105,-0.10729954916521756,-0.8960711886490061,-0.3036158977661521,-0.08004699767793133,-0.1945123501802083,0.43131631775164897,19,8,0.42105263157894735,FAIL,-0.06105759715188297,-0.7909949469643681,-0.05345214133887754,-0.033805045664596745,-0.08943610849557027,0.8368224835101806,29,7,0.2413793103448276,FAIL
000016.SZ,3420,20120215,20260821,0.0301956830296779,-0.860790958477723,0.24912414418730222,0.05127549440942203,-0.8094852597856139,0.24956880976142662,18,0.3333333333333333,0.057453633987550434,-0.8094852597856141,0.26876970190983,0.027257950957872534,0.05130569869210888,0.3543859649122807,18,8,0.4444444444444444,PASS,-0.09887992714982552,-0.966927804597398,-0.10213182796223767,-0.12907561017950342,-0.106136846119675,0.8383040935672514,37,12,0.32432432432432434,FAIL
000021.SZ,3503,20120215,20260821,0.14452366697948604,-0.7322212492689052,0.4813668081555822,0.0639115986436456,-0.5899511578076797,0.2956044263002406,24,0.4166666666666667,0.06485334999256831,-0.5899511578076798,0.2979922165329529,-0.07967031698691773,0.14227009146122538,0.50870682272338,23,10,0.43478260869565216,中性,0.16117579225154066,-0.6194085556459383,0.5168321338838157,0.01665212527205462,0.11281269362296686,0.7893234370539538,32,17,0.53125,PASS
000024.SZ,769,20120215,20151207,0.38599824727301235,-0.5076727654688913,1.0532479175012213,0.3522107101162666,-0.3864779119048892,1.0721369621362795,4,0.75,0.37255450872802265,-0.38647791190488934,1.116540622483374,-0.013443738544989703,0.12119485356400195,0.6436931079323797,3,1,0.3333333333333333,PASS,0.2712047556041499,-0.613790740915976,0.847129472289265,-0.11479349166886244,-0.10611797544708468,0.8361508452535761,7,2,0.2857142857142857,FAIL
