实验,配置,起,止,年数,总收益%,年化%,最大回撤%,夏普,年化超额pp,月度胜率%,盈亏比,beta,累计成本元,单次换手%,调仓次数,平均持仓数,空仓月占比%
E1 时间线,PIT 动态上市池（无幸存者偏差）,20140102,20260831,12.66,14.06,1.04,-53.27,0.216,-4.55,52.1,1.202,0.855,34659.0,130.2,150,2.65,4.0
E1 时间线,固定全池自最后一只上市起（后视）,20210322,20260831,5.44,-32.65,-7.01,-53.28,-0.109,-5.38,45.2,0.951,0.941,8916.0,137.3,63,2.75,1.6
E2 权重,等权 top3,20140102,20260831,12.66,14.06,1.04,-53.27,0.216,-4.55,52.1,1.202,0.855,34659.0,130.2,150,2.65,4.0
E2 权重,风险平价 top3,20140102,20260831,12.66,22.34,1.61,-51.69,0.211,-3.99,50.7,1.221,0.792,35068.0,132.0,150,2.65,4.0
E3 空仓,绝对动量空仓 ON（分数>0 才买）,20140102,20260831,12.66,14.06,1.04,-53.27,0.216,-4.55,52.1,1.202,0.855,34659.0,130.2,150,2.65,4.0
E3 空仓,绝对动量空仓 OFF（永远满仓 top3）,20140102,20260831,12.66,39.76,2.68,-53.27,0.259,-2.91,56.0,1.266,0.95,38055.0,126.7,150,3.0,0.0
E4 成本,真实成本（免印花税+佣金万2.5+滑点千1）,20140102,20260831,12.66,14.06,1.04,-53.27,0.216,-4.55,52.1,1.202,0.855,34659.0,130.2,150,2.65,4.0
E4 成本,"零成本（复刻""月频成本可忽略""假设）",20140102,20260831,12.66,46.19,3.04,-53.18,0.266,-2.55,54.2,1.286,0.855,0.0,130.1,150,2.65,4.0
E5 打分,wr_r2  净胜率×R²（视频原描述）,20140102,20260831,12.66,14.06,1.04,-53.27,0.216,-4.55,52.1,1.202,0.855,34659.0,130.2,150,2.65,4.0
E5 打分,slope_r2 年化斜率×R²（学术标准）,20140102,20260831,12.66,144.46,7.32,-55.73,0.37,1.72,55.7,1.478,0.83,48422.0,132.8,150,2.59,6.7
E5 打分,ret   纯窗口收益率（朴素动量）,20140102,20260831,12.66,162.08,7.91,-65.24,0.388,2.31,54.2,1.511,0.893,48728.0,127.9,150,2.61,4.0
