month,year,long_ret,short_ret,longshort_ret,bench_ret,ic,ic_signed,long_cost,short_cost,N_long,N_short
2017-12,2017,-0.13013653873036904,-0.042752157432500486,-0.08738438129786855,0.04611668656357997,-0.004089016988143836,0.004089016988143836,0.0038281518439991238,0.004031365478525505,10,10
2018-01,2018,0.0030524760162359945,0.012129257875173721,-0.009076781858937726,-0.052346125712210874,0.06592360953232317,-0.06592360953232317,0.0040719949891583115,0.004113303913862171,10,10
2018-02,2018,-0.0065842958573773475,-0.05549560276835383,0.04891130691097648,-0.03719076078966261,0.05676891361238518,-0.05676891361238518,0.004091115312556072,0.00394167600376434,10,10
2018-03,2018,-0.04284821927839919,-0.02545516386074447,-0.01739305541765472,-0.03345642225774257,0.014092342632413985,-0.014092342632413985,0.0039873870106463885,0.004025657081560332,10,10
2018-04,2018,0.008613007627764234,0.053744056297374,-0.04513104866960976,0.010290499948972373,-0.027320450550312486,0.027320450550312486,0.004076624957437779,0.004216677177566928,10,10
2018-05,2018,-0.11251800946166954,-0.03607062358109604,-0.0764473858805735,-0.06884987812647103,0.03909321729854437,-0.03909321729854437,0.003837993199590692,0.004016392340969267,10,10
2018-06,2018,0.019784242982790703,0.031018244982471445,-0.011234001999680741,0.032187255040678604,0.014848403483832623,-0.014848403483832623,0.004193088351644897,0.004123856399372065,9,10
2018-07,2018,-0.05135576864617644,-0.050990919865421466,-0.0003648487807549755,-0.03274496327393586,0.014881850673003044,-0.014881850673003044,0.003984031762059353,0.003981876880481923,10,10
2018-08,2018,-0.013110145401296446,0.010783629692376706,-0.02389377509367315,0.03523367638172855,0.03479638955161708,-0.03479638955161708,0.004042708137669794,0.004084132880925218,10,10
2018-09,2018,-0.11015281857406493,-0.08224496891354921,-0.027907849660515724,-0.04165287610788874,0.02737229953490596,-0.02737229953490596,0.003844363551290736,0.003865695405580631,10,10
2018-10,2018,0.11595153727025928,-0.01605409760868267,0.13200563487894196,-0.0013672501690098799,-0.014315037877490498,0.014315037877490498,0.004282227547492094,0.004013856718271225,10,9
2018-11,2018,-0.06991964654270592,-0.0914333367905903,0.02151369024788438,-0.07675572598440789,0.008868669502481072,-0.008868669502481072,0.003930188191660486,0.003863507187006502,10,10
2018-12,2018,0.021464062835731355,-0.00536008414759756,0.026824146983328915,0.0781596366273201,-0.016353035478757168,0.016353035478757168,0.004098726022705453,0.004102044488487946,10,10
2019-01,2019,0.14669532289441595,0.16970037363798313,-0.02300505074356718,0.12994197722231132,0.0361350827458478,-0.0361350827458478,0.004342928969130906,0.004379280600042354,10,10
2019-02,2019,0.0628862838966416,0.06615211317826915,-0.0032658292816275525,0.032702998199089395,0.027564691202704994,-0.027564691202704994,0.004171800361743629,0.004177738429900832,10,10
2019-03,2019,-0.04494325035763398,-0.0506930844930499,0.005749834135415917,-0.01527883746258113,0.03603191306922292,-0.03603191306922292,0.003957708230464058,0.003966420551500844,10,10
2019-04,2019,-0.015630771261211526,0.030881847557145573,-0.046512618818357096,-0.014880109106596885,0.008422050695887426,-0.008422050695887426,0.00401177277440766,0.004159459319024002,10,10
2019-05,2019,0.01296359232279956,0.0410099815249292,-0.028046389202129637,0.053296785002981927,0.04477986081412197,-0.04477986081412197,0.00407396535108697,0.004182943983032778,10,10
2019-06,2019,-0.05892191157022742,-0.04963088955606903,-0.009291022014158393,-0.0255227409767276,0.002540557314027892,-0.002540557314027892,0.003991543491170124,0.003975677583608517,10,10
2019-07,2019,-0.05188414025186201,0.00409055624198023,-0.05597469649384224,-0.0010209363062050698,0.0011774653304464373,-0.0011774653304464373,0.003959562751742377,0.004067249380138849,10,10
2019-08,2019,0.0012439417041478073,-0.011156435334280599,0.012400377038428407,-0.008780871070018665,0.004788178678006409,-0.004788178678006409,0.004062042541925829,0.004069434088622013,10,10
2019-09,2019,-0.030697076326569293,-5.689315144542192e-06,-0.03069138701142475,0.012787103538698786,-0.008054551778429902,0.008054551778429902,0.004032422724118796,0.004099531513585756,9,10
2019-10,2019,-0.062494946605884324,-0.06682317182312661,0.004328225217242285,-0.031301740882067476,0.007021820662329133,-0.007021820662329133,0.003943502578229606,0.003921473884908087,10,10
2019-11,2019,0.08444632884491261,0.1406575528043652,-0.05621122395945259,0.06791428567481059,-0.01486687358142715,0.01486687358142715,0.004228105961266086,0.004368335887457519,10,10
2019-12,2019,-0.015749657333598042,-0.02706941408564643,0.011319756752048389,-0.03572516796232039,-0.015599763342295974,0.015599763342295974,0.004016225274463403,0.004039398591765964,10,10
2020-01,2020,0.08433707280965413,0.09851932283116267,-0.014182250021508538,0.06823931235738566,0.015940486963914546,-0.015940486963914546,0.004223291658794457,0.004266461149841227,10,10
2020-02,2020,-0.0737017210697394,-0.09695988452580392,0.023258163456064518,-0.09423650028103046,0.005686091574632465,-0.005686091574632465,0.0039299519651496105,0.003884403055046756,10,10
