year,month,ts_code
2017,12,"300414.SZ,300137.SZ,300422.SZ,300413.SZ,000686.SZ,300136.SZ,300340.SZ,002859.SZ,600787.SH,000687.SZ"
2018,1,"600999.SH,300133.SZ,601000.SH,300130.SZ,300054.SZ,300222.SZ,600641.SH,601001.SH,601011.SH,601012.SH"
2018,2,"000584.SZ,601607.SH,601601.SH,300166.SZ,601599.SH,000957.SZ,601326.SH,601328.SH,600622.SH,000823.SZ"
2018,3,"600109.SH,600583.SH,600108.SH,600373.SH,600566.SH,600410.SH,002048.SZ,603055.SH,002387.SZ,600409.SH"
2018,4,"000877.SZ,000878.SZ,000869.SZ,000868.SZ,000876.SZ,002043.SZ,002697.SZ,002042.SZ,002044.SZ,000951.SZ"
2018,5,"600908.SH,600909.SH,600917.SH,603856.SH,603937.SH,600926.SH,300590.SZ,300334.SZ,002733.SZ,002673.SZ"
2018,6,"603527.SH,600482.SH,600480.SH,603533.SH,600436.SH,600438.SH,300401.SZ,600435.SH,300327.SZ,600486.SH"
2018,7,"002212.SZ,300692.SZ,601857.SH,300691.SZ,300496.SZ,002697.SZ,300693.SZ,002768.SZ,300376.SZ,300377.SZ"
2018,8,"603603.SH,603605.SH,300459.SZ,601908.SH,002517.SZ,603466.SH,603458.SH,603607.SH,002506.SZ,600614.SH"
2018,9,"600701.SH,002405.SZ,600702.SH,002400.SZ,002401.SZ,601336.SH,002830.SZ,603896.SH,601333.SH,002407.SZ"
2018,10,"002400.SZ,002241.SZ,002191.SZ,002401.SZ,002192.SZ,002194.SZ,002195.SZ,002244.SZ,002402.SZ,600487.SH"
2018,11,"300732.SZ,300731.SZ,600085.SH,300649.SZ,000090.SZ,603616.SH,600137.SH,601128.SH,600086.SH,601360.SH"
2018,12,"600740.SH,600887.SH,600741.SH,600886.SH,002221.SZ,600888.SH,600742.SH,601021.SH,300388.SZ,601020.SH"
2019,1,"600859.SH,002906.SZ,603676.SH,600330.SH,600814.SH,601669.SH,600459.SH,600333.SH,600592.SH,002907.SZ"
2019,2,"600795.SH,600794.SH,002326.SZ,600221.SH,600196.SH,000697.SZ,000975.SZ,600207.SH,600206.SH,600195.SH"
2019,3,"601238.SH,601952.SH,000630.SZ,601949.SH,300277.SZ,000885.SZ,300288.SZ,601233.SH,601958.SH,601908.SH"
2019,4,"603797.SH,002401.SZ,600068.SH,002400.SZ,603515.SH,600069.SH,601377.SH,600681.SH,600166.SH,000893.SZ"
2019,5,"000546.SZ,000545.SZ,002390.SZ,600782.SH,601088.SH,601098.SH,600754.SH,600022.SH,600673.SH,600023.SH"
2019,6,"600507.SH,600508.SH,000049.SZ,300431.SZ,300695.SZ,300696.SZ,600122.SH,600515.SH,600125.SH,600535.SH"
2019,7,"000935.SZ,603136.SH,603128.SH,601689.SH,000936.SZ,000933.SZ,000932.SZ,601688.SH,601166.SH,601168.SH"
2019,8,"002879.SZ,000830.SZ,601908.SH,002368.SZ,002675.SZ,603527.SH,601901.SH,002917.SZ,603533.SH,600755.SH"
2019,9,"603955.SH,600436.SH,600435.SH,000915.SZ,600803.SH,600804.SH,002212.SZ,600617.SH,600480.SH,300565.SZ"
2019,10,"601607.SH,002025.SZ,601601.SH,600820.SH,002155.SZ,002909.SZ,601200.SH,002027.SZ,600373.SH,600704.SH"
2019,11,"603648.SH,603328.SH,600823.SH,002902.SZ,300604.SZ,601717.SH,600777.SH,601727.SH,601388.SH,603903.SH"
2019,12,"601099.SH,601100.SH,300256.SZ,600137.SH,002043.SZ,002044.SZ,300266.SZ,601098.SH,002610.SZ,002675.SZ"
2020,1,"002119.SZ,000672.SZ,002048.SZ,002121.SZ,002311.SZ,600782.SH,600682.SH,600814.SH,600835.SH,002120.SZ"
