year,month,ts_code
2017,12,"002806.SZ,300144.SZ,600846.SH,603167.SH,002879.SZ,601688.SH,603165.SH,603168.SH,002807.SZ,603160.SH"
2018,1,"300418.SZ,600971.SH,600130.SH,300433.SZ,002843.SZ,000783.SZ,002025.SZ,002493.SZ,000786.SZ,300223.SZ"
2018,2,"603588.SH,002911.SZ,601988.SH,603826.SH,601985.SH,002716.SZ,603599.SH,600123.SH,603328.SH,000100.SZ"
2018,3,"601116.SH,600704.SH,600567.SH,600112.SH,600926.SH,002023.SZ,600919.SH,600111.SH,600110.SH,300241.SZ"
2018,4,"600208.SH,000977.SZ,000961.SZ,000852.SZ,002153.SZ,600917.SH,002157.SZ,600207.SH,000856.SZ,000858.SZ"
2018,5,"600388.SH,300671.SZ,300459.SZ,002690.SZ,002047.SZ,002821.SZ,600155.SH,300466.SZ,600085.SH,600153.SH"
2018,6,"000625.SZ,600795.SH,000960.SZ,600794.SH,000623.SZ,600477.SH,000507.SZ,002302.SZ,002299.SZ,002300.SZ"
2018,7,"300457.SZ,300456.SZ,002158.SZ,002218.SZ,002223.SZ,300450.SZ,300459.SZ,601877.SH,300458.SZ,601878.SH"
2018,8,"300304.SZ,002342.SZ,000703.SZ,002340.SZ,600873.SH,300465.SZ,600872.SH,600875.SH,002341.SZ,600876.SH"
2018,9,"000407.SZ,600116.SH,600795.SH,300428.SZ,300110.SZ,600330.SH,600115.SH,002086.SZ,002402.SZ,002085.SZ"
2018,10,"601021.SH,002648.SZ,002759.SZ,600518.SH,600933.SH,002397.SZ,600519.SH,600967.SH,600926.SH,600966.SH"
2018,11,"300224.SZ,600691.SH,603722.SH,600651.SH,600176.SH,600175.SH,600526.SH,300220.SZ,300222.SZ,600652.SH"
2018,12,"601318.SH,300220.SZ,600330.SH,000166.SZ,002148.SZ,603076.SH,002054.SZ,600331.SH,002050.SZ,603103.SH"
2019,1,"000923.SZ,000729.SZ,000728.SZ,603885.SH,002342.SZ,002313.SZ,002493.SZ,002341.SZ,002178.SZ,300059.SZ"
2019,2,"000970.SZ,000830.SZ,600846.SH,600835.SH,000751.SZ,300022.SZ,603320.SH,603458.SH,600797.SH,600801.SH"
2019,3,"600251.SH,600352.SH,600353.SH,603903.SH,300274.SZ,600350.SH,601933.SH,600354.SH,300273.SZ,002589.SZ"
2019,4,"600663.SH,002912.SZ,600030.SH,600661.SH,000791.SZ,600031.SH,000982.SZ,002185.SZ,000980.SZ,002183.SZ"
2019,5,"600845.SH,300696.SZ,000762.SZ,300695.SZ,600867.SH,600846.SH,000584.SZ,600868.SH,000587.SZ,000761.SZ"
2019,6,"600633.SH,600526.SH,600177.SH,601128.SH,601127.SH,603660.SH,600176.SH,603515.SH,600175.SH,603661.SH"
2019,7,"002567.SZ,300719.SZ,000938.SZ,300088.SZ,300197.SZ,300199.SZ,600718.SH,300718.SZ,600720.SH,300203.SZ"
2019,8,"002396.SZ,000915.SZ,000928.SZ,000923.SZ,002909.SZ,002812.SZ,000927.SZ,002910.SZ,300263.SZ,000926.SZ"
2019,9,"603708.SH,600958.SH,002685.SZ,000836.SZ,600459.SH,002095.SZ,600939.SH,603703.SH,603711.SH,600460.SH"
2019,10,"601390.SH,002118.SZ,601618.SH,002911.SZ,002139.SZ,002910.SZ,002142.SZ,002753.SZ,002143.SZ,601398.SH"
2019,11,"300016.SZ,300088.SZ,601318.SH,002233.SZ,300705.SZ,300706.SZ,603916.SH,601901.SH,002085.SZ,601908.SH"
2019,12,"300671.SZ,002386.SZ,002917.SZ,002918.SZ,002230.SZ,600158.SH,601799.SH,002178.SZ,600006.SH,600004.SH"
2020,1,"002138.SZ,603386.SH,002582.SZ,300313.SZ,002505.SZ,300707.SZ,002346.SZ,601818.SH,300642.SZ,300706.SZ"
2020,2,"300418.SZ,600446.SH,002119.SZ,600151.SH,600213.SH,002377.SZ,002120.SZ,002378.SZ,002121.SZ,600153.SH"
2020,3,"300493.SZ,601216.SH,600741.SH,600740.SH,600742.SH,000731.SZ,002106.SZ,002279.SZ,600739.SH,600993.SH"
2020,4,"300360.SZ,600200.SH,600197.SH,300026.SZ,600345.SH,600346.SH,002589.SZ,300025.SZ,600196.SH,600276.SH"
2020,5,"002458.SZ,601901.SH,300251.SZ,000712.SZ,002895.SZ,002093.SZ,000783.SZ,002095.SZ,600179.SH,002094.SZ"
