year,month,ts_code
2017,12,"600604.SH,600617.SH,600600.SH,600606.SH,600594.SH,600596.SH,600595.SH,600597.SH,600598.SH,600260.SH"
2018,1,"603703.SH,603690.SH,603688.SH,603689.SH,603685.SH,603707.SH,603708.SH,603711.SH,603683.SH,002775.SZ"
2018,2,"002695.SZ,002690.SZ,002697.SZ,002685.SZ,002675.SZ,002673.SZ,002672.SZ,002670.SZ,002664.SZ,002665.SZ"
2018,3,"002594.SZ,000062.SZ,000968.SZ,000970.SZ,000969.SZ,000039.SZ,000060.SZ,000063.SZ,000065.SZ,000066.SZ"
2018,4,"000012.SZ,000822.SZ,603912.SH,603917.SH,603916.SH,000009.SZ,000021.SZ,000823.SZ,000831.SZ,000830.SZ"
2018,5,"002185.SZ,002183.SZ,002202.SZ,002201.SZ,002182.SZ,002188.SZ,002194.SZ,002191.SZ,002192.SZ,000996.SZ"
2018,6,"002887.SZ,002886.SZ,002889.SZ,002893.SZ,002892.SZ,002213.SZ,002897.SZ,002212.SZ,002896.SZ,002895.SZ"
2018,7,"603933.SH,603917.SH,603920.SH,603929.SH,002067.SZ,603916.SH,002065.SZ,002068.SZ,002072.SZ,002054.SZ"
2018,8,"002896.SZ,002897.SZ,002895.SZ,002893.SZ,002886.SZ,002900.SZ,002892.SZ,002887.SZ,002881.SZ,002879.SZ"
2018,9,"300097.SZ,300098.SZ,300102.SZ,300101.SZ,300100.SZ,600584.SH,600585.SH,600583.SH,300415.SZ,300414.SZ"
2018,10,"002237.SZ,002236.SZ,002234.SZ,002233.SZ,002202.SZ,002230.SZ,300438.SZ,002239.SZ,002221.SZ,002222.SZ"
2018,11,"300520.SZ,002261.SZ,300719.SZ,300718.SZ,300717.SZ,300713.SZ,300720.SZ,300712.SZ,300721.SZ,300722.SZ"
2018,12,"000856.SZ,000852.SZ,600807.SH,000836.SZ,600809.SH,600808.SH,000839.SZ,600881.SH,000848.SZ,600649.SH"
2019,1,"000541.SZ,000537.SZ,000538.SZ,000546.SZ,000545.SZ,000553.SZ,000555.SZ,603883.SH,603882.SH,603881.SH"
2019,2,"002601.SZ,002596.SZ,002597.SZ,002594.SZ,002602.SZ,002573.SZ,002572.SZ,002570.SZ,002606.SZ,002584.SZ"
2019,3,"002792.SZ,002148.SZ,601888.SH,601898.SH,601899.SH,002146.SZ,300570.SZ,300569.SZ,601901.SH,002797.SZ"
2019,4,"300679.SZ,300681.SZ,601599.SH,300677.SZ,300676.SZ,300675.SZ,300671.SZ,300672.SZ,300683.SZ,600009.SH"
2019,5,"300616.SZ,300618.SZ,300619.SZ,300613.SZ,300612.SZ,300609.SZ,300597.SZ,300601.SZ,300603.SZ,300604.SZ"
2019,6,"000001.SZ,000002.SZ,000039.SZ,000008.SZ,000038.SZ,000036.SZ,000009.SZ,000021.SZ,000012.SZ,000028.SZ"
2019,7,"000895.SZ,000878.SZ,000898.SZ,000877.SZ,000738.SZ,000893.SZ,000735.SZ,000885.SZ,000886.SZ,000889.SZ"
2019,8,"600741.SH,600742.SH,600740.SH,600739.SH,600050.SH,600737.SH,600354.SH,600048.SH,600037.SH,600038.SH"
2019,9,"603369.SH,603363.SH,603367.SH,603365.SH,603357.SH,603338.SH,603336.SH,603323.SH,603322.SH,603328.SH"
2019,10,"002397.SZ,002400.SZ,300298.SZ,300310.SZ,300312.SZ,300308.SZ,300296.SZ,002115.SZ,300375.SZ,000836.SZ"
2019,11,"000090.SZ,002895.SZ,002897.SZ,000100.SZ,002896.SZ,002893.SZ,000155.SZ,002892.SZ,000158.SZ,000157.SZ"
2019,12,"600787.SH,601088.SH,601086.SH,300623.SZ,601069.SH,600782.SH,600779.SH,600777.SH,300613.SZ,300616.SZ"
2020,1,"300459.SZ,300450.SZ,300458.SZ,300457.SZ,300456.SZ,300465.SZ,300466.SZ,000670.SZ,300468.SZ,000659.SZ"
2020,2,"002685.SZ,002690.SZ,002697.SZ,002695.SZ,002675.SZ,002711.SZ,002673.SZ,002672.SZ,002714.SZ,002670.SZ"
2020,3,"002422.SZ,002415.SZ,002426.SZ,002418.SZ,002421.SZ,002419.SZ,002427.SZ,002410.SZ,002407.SZ,002640.SZ"
2020,4,"600690.SH,600688.SH,600687.SH,600686.SH,600681.SH,600682.SH,600691.SH,600702.SH,600699.SH,600698.SH"
2020,5,"600166.SH,600170.SH,600171.SH,600177.SH,600176.SH,600172.SH,600167.SH,600139.SH,600138.SH,600143.SH"
2020,6,"000600.SZ,000591.SZ,000598.SZ,000593.SZ,000596.SZ,601216.SH,601212.SH,000587.SZ,601211.SH,000572.SZ"
2020,7,"000600.SZ,000597.SZ,000596.SZ,000598.SZ,000661.SZ,000659.SZ,000593.SZ,000768.SZ,600756.SH,600755.SH"
2020,8,"300388.SZ,300386.SZ,300398.SZ,300397.SZ,300379.SZ,600221.SH,300399.SZ,600216.SH,300401.SZ,600213.SH"
2020,9,"002821.SZ,000725.SZ,002824.SZ,002807.SZ,002806.SZ,002809.SZ,000723.SZ,002812.SZ,002813.SZ,002158.SZ"
2020,10,"603722.SH,603727.SH,603725.SH,603730.SH,603766.SH,603703.SH,603717.SH,603707.SH,603757.SH,603758.SH"
2020,11,"002714.SZ,002716.SZ,002889.SZ,002709.SZ,002853.SZ,002845.SZ,002843.SZ,002887.SZ,002846.SZ,002842.SZ"
2020,12,"601390.SH,601398.SH,601388.SH,601369.SH,601377.SH,601360.SH,601336.SH,000918.SZ,000910.SZ,000893.SZ"
2021,1,"002362.SZ,002365.SZ,002366.SZ,600278.SH,600282.SH,600283.SH,002369.SZ,002368.SZ,600280.SH,600266.SH"
2021,2,"600158.SH,000661.SZ,000659.SZ,000504.SZ,000655.SZ,000503.SZ,000703.SZ,000656.SZ,000666.SZ,600160.SH"
2021,3,"600512.SH,600517.SH,600518.SH,600515.SH,600516.SH,600502.SH,600503.SH,600500.SH,600511.SH,600499.SH"
2021,4,"300732.SZ,300727.SZ,300725.SZ,300726.SZ,300722.SZ,300729.SZ,300731.SZ,300721.SZ,600652.SH,600654.SH"
2021,5,"600588.SH,600584.SH,600585.SH,600583.SH,600580.SH,600572.SH,600571.SH,600570.SH,600569.SH,600567.SH"
2021,6,"601877.SH,601857.SH,002249.SZ,002237.SZ,002248.SZ,002251.SZ,002087.SZ,002239.SZ,002240.SZ,002236.SZ"
2021,7,"300520.SZ,300705.SZ,300727.SZ,300729.SZ,300706.SZ,300726.SZ,300732.SZ,300712.SZ,300711.SZ,300710.SZ"
2021,8,"000062.SZ,000060.SZ,000058.SZ,000059.SZ,000049.SZ,000065.SZ,000063.SZ,000028.SZ,000036.SZ,000025.SZ"
2021,9,"601128.SH,601163.SH,601169.SH,601139.SH,601155.SH,601186.SH,601198.SH,601216.SH,601211.SH,601200.SH"
2021,10,"600426.SH,600428.SH,600435.SH,600682.SH,600438.SH,600691.SH,600690.SH,600688.SH,600681.SH,600436.SH"
2021,11,"600652.SH,600655.SH,600654.SH,600657.SH,600660.SH,600651.SH,600649.SH,600641.SH,600643.SH,600661.SH"
2021,12,"603103.SH,603106.SH,603110.SH,603111.SH,603113.SH,603083.SH,603079.SH,603081.SH,603077.SH,603076.SH"
