year,month,ts_code
2017,12,"002907.SZ,002906.SZ,002908.SZ,002903.SZ,002905.SZ,002901.SZ,002897.SZ,002900.SZ,002896.SZ,002895.SZ"
2018,1,"300275.SZ,300267.SZ,300271.SZ,300273.SZ,300274.SZ,300270.SZ,300263.SZ,300251.SZ,300252.SZ,300253.SZ"
2018,2,"600166.SH,600171.SH,600170.SH,600177.SH,600172.SH,600175.SH,600176.SH,600188.SH,600195.SH,600191.SH"
2018,3,"600637.SH,002094.SZ,600641.SH,002086.SZ,002093.SZ,002087.SZ,600635.SH,600633.SH,600622.SH,600621.SH"
2018,4,"000969.SZ,000957.SZ,000998.SZ,000997.SZ,000996.SZ,000968.SZ,000951.SZ,000938.SZ,000970.SZ,000975.SZ"
2018,5,"300500.SZ,002759.SZ,300496.SZ,002753.SZ,002743.SZ,300493.SZ,300494.SZ,002756.SZ,002747.SZ,002745.SZ"
2018,6,"300456.SZ,300458.SZ,300466.SZ,300467.SZ,300459.SZ,300465.SZ,300468.SZ,300433.SZ,300438.SZ,300450.SZ"
2018,7,"002285.SZ,002284.SZ,002281.SZ,002280.SZ,002279.SZ,002278.SZ,002277.SZ,300505.SZ,002276.SZ,002273.SZ"
2018,8,"000009.SZ,000021.SZ,000012.SZ,000008.SZ,603616.SH,603636.SH,603626.SH,603619.SH,000002.SZ,000001.SZ"
2018,9,"002253.SZ,002213.SZ,002248.SZ,300479.SZ,002246.SZ,002245.SZ,002258.SZ,002221.SZ,002249.SZ,002244.SZ"
2018,10,"600594.SH,600597.SH,600598.SH,600600.SH,600593.SH,600588.SH,600580.SH,600584.SH,600585.SH,600583.SH"
2018,11,"000423.SZ,000426.SZ,000425.SZ,000504.SZ,000507.SZ,000501.SZ,000513.SZ,000510.SZ,000516.SZ,000503.SZ"
2018,12,"603859.SH,603868.SH,002824.SZ,002830.SZ,002840.SZ,002839.SZ,002837.SZ,002843.SZ,002842.SZ,002845.SZ"
2019,1,"002236.SZ,002212.SZ,002213.SZ,002218.SZ,002221.SZ,002222.SZ,002223.SZ,002230.SZ,002233.SZ,002234.SZ"
2019,2,"300493.SZ,300474.SZ,300479.SZ,300482.SZ,300494.SZ,300505.SZ,300476.SZ,300496.SZ,300498.SZ,300500.SZ"
2019,3,"300037.SZ,300036.SZ,600722.SH,600740.SH,600741.SH,600742.SH,600739.SH,600737.SH,600729.SH,600728.SH"
2019,4,"000400.SZ,000407.SZ,000402.SZ,000338.SZ,000403.SZ,000418.SZ,000426.SZ,000420.SZ,000425.SZ,000423.SZ"
2019,5,"600871.SH,600893.SH,600886.SH,600888.SH,600890.SH,600887.SH,000799.SZ,000795.SZ,000800.SZ,000802.SZ"
2019,6,"603799.SH,603717.SH,603722.SH,603725.SH,603727.SH,603730.SH,603757.SH,603758.SH,603766.SH,603776.SH"
2019,7,"002321.SZ,600779.SH,300256.SZ,600777.SH,300253.SZ,600776.SH,002009.SZ,300252.SZ,002008.SZ,002007.SZ"
2019,8,"001965.SZ,300003.SZ,300008.SZ,300009.SZ,001696.SZ,000998.SZ,000999.SZ,000997.SZ,000996.SZ,000988.SZ"
2019,9,"002152.SZ,300207.SZ,002151.SZ,000917.SZ,000915.SZ,000918.SZ,000921.SZ,000923.SZ,000927.SZ,000926.SZ"
2019,10,"300567.SZ,300568.SZ,002697.SZ,002695.SZ,002711.SZ,002709.SZ,002722.SZ,002721.SZ,002716.SZ,002714.SZ"
2019,11,"300225.SZ,300224.SZ,300223.SZ,300222.SZ,002812.SZ,002813.SZ,002807.SZ,002809.SZ,002806.SZ,300635.SZ"
2019,12,"002505.SZ,002509.SZ,002745.SZ,002743.SZ,002510.SZ,002511.SZ,002753.SZ,002760.SZ,002756.SZ,002759.SZ"
2020,1,"002179.SZ,002178.SZ,002152.SZ,002153.SZ,002174.SZ,002167.SZ,002157.SZ,002155.SZ,002158.SZ,002161.SZ"
2020,2,"600177.SH,600176.SH,600160.SH,600175.SH,600161.SH,600167.SH,600166.SH,600172.SH,600171.SH,600170.SH"
2020,3,"600926.SH,600966.SH,600933.SH,600939.SH,600903.SH,600919.SH,600917.SH,600909.SH,600908.SH,600958.SH"
2020,4,"600486.SH,600489.SH,600482.SH,600490.SH,600446.SH,600456.SH,600480.SH,600460.SH,600477.SH,600466.SH"
2020,5,"000786.SZ,000789.SZ,000877.SZ,000852.SZ,000856.SZ,000858.SZ,000868.SZ,000860.SZ,000869.SZ,000876.SZ"
2020,6,"002916.SZ,002918.SZ,002917.SZ,002672.SZ,002685.SZ,002675.SZ,002911.SZ,002673.SZ,002913.SZ,002912.SZ"
2020,7,"600428.SH,600426.SH,600438.SH,600435.SH,600436.SH,600449.SH,600456.SH,600459.SH,600460.SH,600466.SH"
2020,8,"600917.SH,600963.SH,600958.SH,600978.SH,600939.SH,600966.SH,600967.SH,600971.SH,600977.SH,600970.SH"
2020,9,"603077.SH,603128.SH,603081.SH,603079.SH,603113.SH,603083.SH,603110.SH,603111.SH,603103.SH,603106.SH"
2020,10,"000933.SZ,000963.SZ,000935.SZ,000961.SZ,000936.SZ,000938.SZ,000951.SZ,000960.SZ,000937.SZ,000957.SZ"
2020,11,"600967.SH,300725.SZ,600970.SH,600963.SH,600958.SH,600971.SH,300726.SZ,300729.SZ,300731.SZ,300732.SZ"
2020,12,"002353.SZ,002355.SZ,002334.SZ,002352.SZ,002336.SZ,002340.SZ,002350.SZ,002341.SZ,002343.SZ,002346.SZ"
2021,1,"600807.SH,600808.SH,600809.SH,600814.SH,600816.SH,600820.SH,600822.SH,600823.SH,600825.SH,600827.SH"
2021,2,"002094.SZ,002131.SZ,002091.SZ,002092.SZ,002093.SZ,002104.SZ,002106.SZ,002056.SZ,002054.SZ,002053.SZ"
2021,3,"300133.SZ,300134.SZ,300130.SZ,300127.SZ,300128.SZ,300124.SZ,300116.SZ,300115.SZ,300117.SZ,300122.SZ"
2021,4,"000593.SZ,002830.SZ,002797.SZ,002806.SZ,002807.SZ,002809.SZ,002813.SZ,002812.SZ,002824.SZ,002821.SZ"
2021,5,"600255.SH,600256.SH,600267.SH,600271.SH,600276.SH,600280.SH,600278.SH,600277.SH,600755.SH,300291.SZ"
2021,6,"300375.SZ,300373.SZ,300377.SZ,300379.SZ,300376.SZ,000063.SZ,000066.SZ,000065.SZ,000069.SZ,603559.SH"
2021,7,"600076.SH,600085.SH,600089.SH,600072.SH,600057.SH,600068.SH,600066.SH,600060.SH,600061.SH,600062.SH"
2021,8,"000690.SZ,601360.SH,000687.SZ,601336.SH,000686.SZ,601333.SH,000683.SZ,601328.SH,000680.SZ,000681.SZ"
2021,9,"002195.SZ,603393.SH,603399.SH,603396.SH,002183.SZ,002182.SZ,002180.SZ,002179.SZ,002178.SZ,002176.SZ"
2021,10,"600809.SH,600808.SH,600794.SH,600814.SH,600797.SH,002690.SZ,600787.SH,600782.SH,600779.SH,600777.SH"
2021,11,"000868.SZ,000839.SZ,000848.SZ,000825.SZ,000860.SZ,000858.SZ,000856.SZ,000852.SZ,603225.SH,603228.SH"
2021,12,"000910.SZ,300657.SZ,300671.SZ,300672.SZ,300675.SZ,300676.SZ,300666.SZ,300661.SZ,002544.SZ,002545.SZ"
