year,month,ts_code
2017,12,"600760.SH,300560.SZ,000830.SZ,600230.SH,600507.SH,002451.SZ,600782.SH,601012.SH,000717.SZ,603799.SH"
2018,1,"600760.SH,300176.SZ,601360.SH,002813.SZ,000830.SZ,603660.SH,600779.SH,002110.SZ,601012.SH,601155.SH"
2018,2,"300176.SZ,002110.SZ,000830.SZ,600516.SH,600760.SH,601155.SH,600779.SH,002415.SZ,601012.SH,000858.SZ"
2018,3,"601360.SH,300176.SZ,000830.SZ,300308.SZ,600516.SH,603799.SH,002460.SZ,601155.SH,002842.SZ,002008.SZ"
2018,4,"300176.SZ,601360.SH,300308.SZ,300601.SZ,600516.SH,002110.SZ,002460.SZ,000830.SZ,601155.SH,002415.SZ"
2018,5,"300630.SZ,601360.SH,603559.SH,300618.SZ,000830.SZ,600516.SH,300176.SZ,600460.SH,002507.SZ,300601.SZ"
2018,6,"000830.SZ,000935.SZ,600516.SH,002507.SZ,601360.SH,300630.SZ,300176.SZ,000735.SZ,601888.SH,600460.SH"
2018,7,"603690.SH,300601.SZ,300630.SZ,000830.SZ,300176.SZ,600309.SH,002507.SZ,300618.SZ,300347.SZ,600779.SH"
2018,8,"300666.SZ,600309.SH,002507.SZ,300630.SZ,000830.SZ,000932.SZ,300347.SZ,300618.SZ,601888.SH,300601.SZ"
2018,9,"300675.SZ,300630.SZ,600309.SH,300604.SZ,300661.SZ,600763.SH,002507.SZ,002371.SZ,601360.SH,601888.SH"
2018,10,"601360.SH,300604.SZ,300630.SZ,601888.SH,002507.SZ,600763.SH,000860.SZ,300661.SZ,300253.SZ,300601.SZ"
2018,11,"300706.SZ,603533.SH,600763.SH,601360.SH,300603.SZ,000860.SZ,002507.SZ,300015.SZ,300146.SZ,300253.SZ"
2018,12,"601360.SH,002507.SZ,002907.SZ,300146.SZ,000860.SZ,600763.SH,300413.SZ,600593.SH,002493.SZ,300347.SZ"
2019,1,"601360.SH,600776.SH,600903.SH,300413.SZ,300253.SZ,000860.SZ,002248.SZ,600132.SH,603605.SH,002507.SZ"
2019,2,"600903.SH,600776.SH,000860.SZ,002507.SZ,600763.SH,603605.SH,600132.SH,002916.SZ,002463.SZ,300012.SZ"
2019,3,"600776.SH,002463.SZ,002234.SZ,000860.SZ,002157.SZ,603659.SH,300253.SZ,300012.SZ,600588.SH,603501.SH"
2019,4,"600776.SH,000860.SZ,603605.SH,002458.SZ,002463.SZ,002714.SZ,300638.SZ,002234.SZ,300012.SZ,600604.SH"
2019,5,"002157.SZ,600776.SH,002458.SZ,002234.SZ,002463.SZ,000860.SZ,002567.SZ,002714.SZ,000723.SZ,600604.SH"
2019,6,"002157.SZ,600776.SH,002234.SZ,002458.SZ,000876.SZ,002567.SZ,002714.SZ,603222.SH,600604.SH,000860.SZ"
2019,7,"603222.SH,600776.SH,002157.SZ,002463.SZ,002194.SZ,000876.SZ,300220.SZ,300033.SZ,600801.SH,002567.SZ"
2019,8,"603222.SH,002157.SZ,002463.SZ,600776.SH,002194.SZ,002714.SZ,000876.SZ,002567.SZ,002234.SZ,300220.SZ"
2019,9,"002194.SZ,603222.SH,002157.SZ,002463.SZ,002201.SZ,600776.SH,300220.SZ,603160.SH,002714.SZ,000876.SZ"
2019,10,"002194.SZ,002463.SZ,603222.SH,600776.SH,002157.SZ,002201.SZ,300220.SZ,002714.SZ,600592.SH,000876.SZ"
2019,11,"002194.SZ,002157.SZ,002714.SZ,603222.SH,002463.SZ,600776.SH,000876.SZ,002458.SZ,002600.SZ,300220.SZ"
2019,12,"002194.SZ,600776.SH,603222.SH,603501.SH,002201.SZ,002714.SZ,002600.SZ,300661.SZ,002157.SZ,300014.SZ"
2020,1,"603501.SH,300661.SZ,600776.SH,300223.SZ,603222.SH,300014.SZ,002600.SZ,300709.SZ,002194.SZ,300379.SZ"
2020,2,"603501.SH,300223.SZ,002600.SZ,002605.SZ,603005.SH,300220.SZ,300709.SZ,603222.SH,300014.SZ,603160.SH"
2020,3,"603005.SH,300223.SZ,603501.SH,300661.SZ,300397.SZ,300709.SZ,002600.SZ,300014.SZ,603160.SH,300220.SZ"
2020,4,"603005.SH,603501.SH,300661.SZ,300220.SZ,300223.SZ,300601.SZ,000876.SZ,603160.SH,300397.SZ,002605.SZ"
2020,5,"603005.SH,300661.SZ,300220.SZ,300223.SZ,603501.SH,300397.SZ,300601.SZ,603160.SH,300482.SZ,603882.SH"
2020,6,"300661.SZ,603005.SH,300677.SZ,603501.SH,300223.SZ,002901.SZ,002409.SZ,600546.SH,300601.SZ,300482.SZ"
2020,7,"300661.SZ,300677.SZ,603005.SH,603501.SH,002901.SZ,002605.SZ,300223.SZ,002555.SZ,300558.SZ,603638.SH"
2020,8,"300677.SZ,300661.SZ,603005.SH,603501.SH,300014.SZ,002475.SZ,002241.SZ,002626.SZ,300601.SZ,300433.SZ"
