year,month,ts_code
2017,12,"002797.SZ,300494.SZ,002234.SZ,002722.SZ,300505.SZ,000626.SZ,300431.SZ,300017.SZ,300359.SZ,300379.SZ"
2018,1,"603859.SH,002722.SZ,002797.SZ,300569.SZ,300431.SZ,300359.SZ,300465.SZ,603727.SH,300505.SZ,002070.SZ"
2018,2,"300465.SZ,300569.SZ,300359.SZ,300379.SZ,603859.SH,300505.SZ,000555.SZ,300535.SZ,300216.SZ,002070.SZ"
2018,3,"300267.SZ,002346.SZ,603703.SH,002280.SZ,300216.SZ,300535.SZ,603859.SH,002188.SZ,000555.SZ,002070.SZ"
2018,4,"300304.SZ,600649.SH,300379.SZ,002280.SZ,300543.SZ,600112.SH,603859.SH,603703.SH,300535.SZ,002070.SZ"
2018,5,"600649.SH,002558.SZ,002807.SZ,300100.SZ,300175.SZ,600939.SH,002839.SZ,300216.SZ,603859.SH,002188.SZ"
2018,6,"000982.SZ,002570.SZ,000885.SZ,300216.SZ,300100.SZ,002807.SZ,000816.SZ,000893.SZ,002188.SZ,600654.SH"
2018,7,"601212.SH,002843.SZ,000982.SZ,000816.SZ,300148.SZ,300334.SZ,300216.SZ,600807.SH,002188.SZ,600654.SH"
2018,8,"300266.SZ,002427.SZ,300148.SZ,600209.SH,000816.SZ,300116.SZ,300216.SZ,600807.SH,002188.SZ,600654.SH"
2018,9,"300090.SZ,002072.SZ,000816.SZ,300266.SZ,002143.SZ,300116.SZ,600807.SH,300216.SZ,002188.SZ,600654.SH"
2018,10,"002143.SZ,300266.SZ,300116.SZ,000816.SZ,600807.SH,300216.SZ,600209.SH,600701.SH,002188.SZ,600654.SH"
2018,11,"002622.SZ,300090.SZ,300216.SZ,300266.SZ,000816.SZ,600701.SH,002143.SZ,600807.SH,002606.SZ,002188.SZ"
2018,12,"000816.SZ,300266.SZ,002622.SZ,600701.SH,300216.SZ,002606.SZ,002143.SZ,002260.SZ,300116.SZ,002188.SZ"
2019,1,"002509.SZ,300090.SZ,002622.SZ,002072.SZ,300266.SZ,002188.SZ,600701.SH,002143.SZ,300116.SZ,002260.SZ"
2019,2,"002517.SZ,300090.SZ,002464.SZ,002072.SZ,300266.SZ,002143.SZ,600701.SH,002188.SZ,300116.SZ,002260.SZ"
2019,3,"600682.SH,002178.SZ,300090.SZ,002517.SZ,002188.SZ,300116.SZ,002072.SZ,600701.SH,002143.SZ,002260.SZ"
2019,4,"300072.SZ,002622.SZ,002517.SZ,002742.SZ,002509.SZ,300090.SZ,600701.SH,300266.SZ,300116.SZ,002143.SZ"
2019,5,"300431.SZ,002509.SZ,002622.SZ,002354.SZ,600687.SH,300116.SZ,002450.SZ,600701.SH,002143.SZ,002072.SZ"
2019,6,"600701.SH,002359.SZ,002210.SZ,600687.SH,002711.SZ,300090.SZ,002072.SZ,002450.SZ,002070.SZ,002143.SZ"
2019,7,"000673.SZ,600701.SH,300090.SZ,600687.SH,002072.SZ,002210.SZ,600518.SH,002711.SZ,002359.SZ,002143.SZ"
2019,8,"300090.SZ,002113.SZ,300266.SZ,600687.SH,000673.SZ,600518.SH,002711.SZ,002210.SZ,002359.SZ,002143.SZ"
2019,9,"300176.SZ,002113.SZ,600614.SH,600687.SH,002477.SZ,600518.SH,002711.SZ,000673.SZ,002210.SZ,002359.SZ"
2019,10,"002310.SZ,600701.SH,600614.SH,002113.SZ,600687.SH,600518.SH,002143.SZ,002711.SZ,002359.SZ,002210.SZ"
2019,11,"600687.SH,002252.SZ,600122.SH,300176.SZ,600086.SH,002711.SZ,600614.SH,002359.SZ,600518.SH,002210.SZ"
2019,12,"300431.SZ,002252.SZ,600122.SH,002210.SZ,002711.SZ,600518.SH,300176.SZ,600614.SH,600086.SH,002359.SZ"
2020,1,"002711.SZ,002113.SZ,002716.SZ,002252.SZ,300431.SZ,002210.SZ,600518.SH,600687.SH,300176.SZ,002359.SZ"
2020,2,"300197.SZ,600856.SH,002252.SZ,002716.SZ,600518.SH,300431.SZ,600687.SH,002711.SZ,002210.SZ,002359.SZ"
2020,3,"600290.SH,002358.SZ,300431.SZ,002711.SZ,002716.SZ,002210.SZ,600687.SH,600614.SH,002359.SZ,300176.SZ"
2020,4,"002509.SZ,002366.SZ,600290.SH,300431.SZ,002358.SZ,002716.SZ,002359.SZ,600614.SH,600687.SH,300176.SZ"
2020,5,"603996.SH,600290.SH,600856.SH,600518.SH,002210.SZ,002716.SZ,600687.SH,300176.SZ,600614.SH,002359.SZ"
2020,6,"600518.SH,000587.SZ,600856.SH,002176.SZ,600086.SH,603996.SH,002716.SZ,600290.SH,300431.SZ,300176.SZ"
2020,7,"000687.SZ,000673.SZ,600978.SH,002418.SZ,600856.SH,300090.SZ,603996.SH,002716.SZ,600290.SH,002210.SZ"
2020,8,"300176.SZ,000673.SZ,002280.SZ,000980.SZ,600978.SH,000687.SZ,600816.SH,002716.SZ,600086.SH,600290.SH"
2020,9,"002280.SZ,000673.SZ,600311.SH,600978.SH,000980.SZ,600290.SH,000687.SZ,600086.SH,600816.SH,002716.SZ"
2020,10,"603157.SH,603318.SH,600816.SH,000980.SZ,600978.SH,600290.SH,600086.SH,000687.SZ,002716.SZ,300431.SZ"
2020,11,"002071.SZ,600816.SH,600311.SH,000980.SZ,603157.SH,002716.SZ,600978.SH,603318.SH,600086.SH,000687.SZ"
2020,12,"600311.SH,000980.SZ,600122.SH,002716.SZ,002071.SZ,603157.SH,600978.SH,600816.SH,603318.SH,000687.SZ"
2021,1,"600122.SH,300345.SZ,600816.SH,603996.SH,603157.SH,603222.SH,600086.SH,600978.SH,603318.SH,000687.SZ"
2021,2,"603399.SH,600122.SH,002464.SZ,603996.SH,300345.SZ,603157.SH,600086.SH,600816.SH,000673.SZ,000687.SZ"
2021,3,"600291.SH,000503.SZ,002618.SZ,000673.SZ,603399.SH,300038.SZ,603157.SH,002071.SZ,603222.SH,000687.SZ"
2021,4,"000503.SZ,300609.SZ,603157.SH,300220.SZ,603160.SH,002618.SZ,603399.SH,000687.SZ,603222.SH,002071.SZ"
2021,5,"002912.SZ,300324.SZ,300609.SZ,000687.SZ,603160.SH,300603.SZ,603222.SH,300051.SZ,300220.SZ,300038.SZ"
2021,6,"002640.SZ,600890.SH,600191.SH,600291.SH,300220.SZ,002618.SZ,300038.SZ,002711.SZ,002359.SZ,600614.SH"
2021,7,"300051.SZ,002640.SZ,002464.SZ,000525.SZ,300220.SZ,002912.SZ,600890.SH,603222.SH,002618.SZ,300038.SZ"
2021,8,"002912.SZ,600890.SH,600291.SH,600593.SH,603708.SH,002468.SZ,002618.SZ,603222.SH,600093.SH,300038.SZ"
2021,9,"002456.SZ,000732.SZ,600593.SH,002618.SZ,300209.SZ,002640.SZ,600291.SH,600093.SH,300038.SZ,600260.SH"
2021,10,"000876.SZ,300612.SZ,002640.SZ,300209.SZ,002618.SZ,000710.SZ,600593.SH,300038.SZ,600093.SH,600260.SH"
2021,11,"600890.SH,300256.SZ,300367.SZ,600466.SH,002640.SZ,600593.SH,600093.SH,002618.SZ,600260.SH,300038.SZ"
2021,12,"002640.SZ,002618.SZ,002127.SZ,600466.SH,300312.SZ,600593.SH,600260.SH,300064.SZ,300038.SZ,600093.SH"
