year,month,ts_code
2017,12,"002606.SZ,300612.SZ,600137.SH,603168.SH,002759.SZ,000555.SZ,300268.SZ,300077.SZ,000912.SZ,603559.SH"
2018,1,"300216.SZ,300312.SZ,300203.SZ,300136.SZ,600520.SH,300597.SZ,300639.SZ,600654.SH,002371.SZ,300536.SZ"
2018,2,"002178.SZ,002054.SZ,002760.SZ,002188.SZ,300110.SZ,002458.SZ,603286.SH,002879.SZ,300157.SZ,002839.SZ"
2018,3,"600179.SH,002427.SZ,300064.SZ,002321.SZ,601360.SH,600569.SH,000932.SZ,600782.SH,000830.SZ,002742.SZ"
2018,4,"002427.SZ,300116.SZ,002509.SZ,002085.SZ,600651.SH,300216.SZ,002265.SZ,000816.SZ,600209.SH,603081.SH"
2018,5,"002622.SZ,002072.SZ,600807.SH,002194.SZ,300325.SZ,603222.SH,002366.SZ,002662.SZ,000816.SZ,000982.SZ"
2018,6,"002451.SZ,002260.SZ,002584.SZ,600807.SH,000063.SZ,002072.SZ,002418.SZ,600130.SH,603996.SH,300074.SZ"
2018,7,"300266.SZ,300090.SZ,002143.SZ,002840.SZ,600290.SH,002072.SZ,300317.SZ,000587.SZ,002711.SZ,002260.SZ"
2018,8,"000673.SZ,600687.SH,600515.SH,002143.SZ,000504.SZ,600175.SH,002310.SZ,300683.SZ,002437.SZ,000038.SZ"
2018,9,"600701.SH,002210.SZ,002359.SZ,600280.SH,002477.SZ,002664.SZ,002086.SZ,002263.SZ,002716.SZ,002239.SZ"
2018,10,"600751.SH,300618.SZ,300168.SZ,002434.SZ,002573.SZ,600518.SH,002309.SZ,603799.SH,002030.SZ,603589.SH"
2018,11,"002450.SZ,002665.SZ,600086.SH,600122.SH,002408.SZ,000666.SZ,002258.SZ,002110.SZ,002369.SZ,000932.SZ"
2018,12,"002252.SZ,600399.SH,300197.SZ,300324.SZ,300003.SZ,002113.SZ,002210.SZ,600687.SH,300313.SZ,600267.SH"
2019,1,"002450.SZ,600086.SH,300635.SZ,002210.SZ,600518.SH,002252.SZ,603042.SH,300313.SZ,300711.SZ,300072.SZ"
