year,month,ts_code
2017,12,"603501.SH,603138.SH,002895.SZ,300308.SZ,600130.SH,000503.SZ,002912.SZ,600520.SH,002248.SZ,300725.SZ"
2018,1,"600596.SH,601009.SH,600466.SH,002146.SZ,000830.SZ,600740.SH,600093.SH,601155.SH,002016.SZ,000732.SZ"
2018,2,"300323.SZ,002359.SZ,000681.SZ,300277.SZ,300166.SZ,000816.SZ,300253.SZ,000825.SZ,603799.SH,600588.SH"
2018,3,"300377.SZ,603533.SH,603367.SH,603127.SH,300672.SZ,300696.SZ,300100.SZ,300705.SZ,000555.SZ,300688.SZ"
2018,4,"300543.SZ,300078.SZ,002195.SZ,002507.SZ,603387.SH,002368.SZ,300077.SZ,000710.SZ,002806.SZ,002864.SZ"
2018,5,"603386.SH,603813.SH,600132.SH,002830.SZ,000596.SZ,603848.SH,603589.SH,603369.SH,002806.SZ,000735.SZ"
2018,6,"300701.SZ,000860.SZ,002889.SZ,600309.SH,002917.SZ,000597.SZ,002909.SZ,603336.SH,300693.SZ,300345.SZ"
2018,7,"600139.SH,300134.SZ,000593.SZ,300458.SZ,002110.SZ,603690.SH,600782.SH,600801.SH,002278.SZ,002618.SZ"
2018,8,"603559.SH,002281.SZ,000852.SZ,000659.SZ,300312.SZ,002792.SZ,000063.SZ,300502.SZ,002463.SZ,002427.SZ"
2018,9,"600104.SH,603128.SH,000400.SZ,600903.SH,603917.SH,600482.SH,600333.SH,600278.SH,000593.SZ,000893.SZ"
2018,10,"600161.SH,300130.SZ,000659.SZ,002863.SZ,002813.SZ,002427.SZ,603505.SH,601099.SH,000750.SZ,000918.SZ"
2018,11,"000936.SZ,002366.SZ,002194.SZ,002054.SZ,000917.SZ,600825.SH,300181.SZ,600635.SH,002192.SZ,600604.SH"
2018,12,"000975.SZ,002845.SZ,002446.SZ,002902.SZ,300698.SZ,603711.SH,002606.SZ,603507.SH,002451.SZ,603322.SH"
2019,1,"000921.SZ,300274.SZ,000860.SZ,002366.SZ,601012.SH,000723.SZ,002234.SZ,002202.SZ,300569.SZ,002733.SZ"
2019,2,"000050.SZ,002384.SZ,300085.SZ,002234.SZ,600446.SH,002387.SZ,300033.SZ,002157.SZ,600776.SH,002458.SZ"
2019,3,"002437.SZ,300638.SZ,000661.SZ,002567.SZ,600352.SH,600345.SH,002118.SZ,000813.SZ,300536.SZ,300220.SZ"
2019,4,"002665.SZ,603079.SH,002194.SZ,002385.SZ,002467.SZ,002234.SZ,600794.SH,000723.SZ,603363.SH,600517.SH"
2019,5,"300127.SZ,603233.SH,600366.SH,000831.SZ,603336.SH,000876.SZ,600338.SH,300671.SZ,000795.SZ,002119.SZ"
2019,6,"601200.SH,600311.SH,600547.SH,002842.SZ,000975.SZ,603619.SH,600363.SH,002902.SZ,002237.SZ,601038.SH"
2019,7,"002273.SZ,002714.SZ,002241.SZ,002892.SZ,002458.SZ,600546.SH,002617.SZ,603848.SH,603978.SH,300661.SZ"
2019,8,"000021.SZ,002600.SZ,603936.SH,002881.SZ,300223.SZ,300127.SZ,600195.SH,002402.SZ,000038.SZ,000058.SZ"
2019,9,"601100.SH,300315.SZ,002464.SZ,600856.SH,603308.SH,000799.SZ,000410.SZ,002048.SZ,600179.SH,300379.SZ"
2019,10,"300256.SZ,002557.SZ,300465.SZ,002655.SZ,300468.SZ,002714.SZ,603081.SH,002458.SZ,002045.SZ,300345.SZ"
2019,11,"002043.SZ,300277.SZ,603005.SH,300207.SZ,600595.SH,300709.SZ,000982.SZ,603659.SH,002045.SZ,000673.SZ"
2019,12,"002131.SZ,300035.SZ,002174.SZ,603690.SH,002079.SZ,002343.SZ,002261.SZ,300707.SZ,300456.SZ,600614.SH"
2020,1,"300236.SZ,002409.SZ,603305.SH,603138.SH,002837.SZ,603160.SH,603920.SH,002074.SZ,603005.SH,002605.SZ"
2020,2,"600200.SH,603005.SH,300253.SZ,000158.SZ,600988.SH,002223.SZ,600416.SH,300051.SZ,002824.SZ,300236.SZ"
2020,3,"002606.SZ,002596.SZ,600598.SH,002432.SZ,600026.SH,000756.SZ,002695.SZ,300683.SZ,600550.SH,002768.SZ"
2020,4,"603127.SH,300688.SZ,002409.SZ,002709.SZ,002850.SZ,000796.SZ,600350.SH,002152.SZ,601689.SH,603533.SH"
2020,5,"000681.SZ,600060.SH,601038.SH,002853.SZ,603385.SH,002400.SZ,600459.SH,000403.SZ,002397.SZ,600418.SH"
2020,6,"300364.SZ,603638.SH,600198.SH,300433.SZ,300677.SZ,000504.SZ,300277.SZ,600827.SH,000799.SZ,300729.SZ"
2020,7,"601633.SH,601888.SH,002049.SZ,600682.SH,600196.SH,300122.SZ,300238.SZ,600760.SH,002610.SZ,002210.SZ"
2020,8,"600496.SH,600158.SH,300222.SZ,603809.SH,300116.SZ,300100.SZ,002625.SZ,601216.SH,300729.SZ,603167.SH"
2020,9,"300102.SZ,300225.SZ,300100.SZ,002285.SZ,300376.SZ,300569.SZ,300719.SZ,300708.SZ,300008.SZ,300313.SZ"
2020,10,"600563.SH,002430.SZ,002497.SZ,002594.SZ,300711.SZ,002759.SZ,300719.SZ,300713.SZ,300225.SZ,300722.SZ"
2020,11,"002756.SZ,601919.SH,000625.SZ,000301.SZ,000807.SZ,600596.SH,000923.SZ,000933.SZ,000816.SZ,601127.SH"
2020,12,"603396.SH,300274.SZ,603799.SH,300726.SZ,600460.SH,600809.SH,002610.SZ,600559.SH,601908.SH,600333.SH"
2021,1,"000831.SZ,000301.SZ,002145.SZ,603110.SH,002730.SZ,300274.SZ,600143.SH,002176.SZ,600392.SH,000155.SZ"
2021,2,"000673.SZ,002280.SZ,000960.SZ,603996.SH,002145.SZ,600722.SH,000918.SZ,600295.SH,600392.SH,000980.SZ"
2021,3,"603180.SH,000516.SZ,600499.SH,600188.SH,002192.SZ,002636.SZ,002366.SZ,002534.SZ,603126.SH,600526.SH"
2021,4,"601699.SH,000980.SZ,300458.SZ,000012.SZ,300098.SZ,600460.SH,601919.SH,600702.SH,300671.SZ,000928.SZ"
2021,5,"600518.SH,002824.SZ,300568.SZ,603157.SH,000683.SZ,600773.SH,002908.SZ,600704.SH,002386.SZ,000762.SZ"
2021,6,"300500.SZ,300409.SZ,300458.SZ,600171.SH,000982.SZ,300613.SZ,600291.SH,002346.SZ,000009.SZ,600771.SH"
2021,7,"300604.SZ,600338.SH,600010.SH,603690.SH,300241.SZ,603396.SH,300223.SZ,300681.SZ,300077.SZ,300712.SZ"
2021,8,"300263.SZ,300619.SZ,600596.SH,002326.SZ,600361.SH,603396.SH,002610.SZ,603260.SH,600816.SH,000792.SZ"
2021,9,"000525.SZ,600256.SH,002366.SZ,600170.SH,000852.SZ,600011.SH,000591.SZ,300052.SZ,300710.SZ,000537.SZ"
2021,10,"002850.SZ,300672.SZ,300709.SZ,002434.SZ,002505.SZ,300693.SZ,601689.SH,002544.SZ,300207.SZ,300209.SZ"
2021,11,"300681.SZ,300360.SZ,300220.SZ,600522.SH,300224.SZ,000795.SZ,600856.SH,300364.SZ,300065.SZ,300438.SZ"
