date,action,code,name,price,shares,reason
20200108,BUY,159949.SZ,创业板50ETF,0.68,66000,rotation
20200108,BUY,512880.SH,证券ETF,1.043,43000,rotation
20200207,SELL,512880.SH,证券ETF,0.92,43000,rotation
20200207,BUY,159915.SZ,创业板ETF,1.932,11500,rotation
20200306,BUY,512880.SH,证券ETF,1.088,11300,rotation
20200306,BUY,512100.SH,中证1000ETF,0.815,15100,rotation
20200408,SELL,159949.SZ,创业板50ETF,0.725,66000,rotation
20200408,SELL,159915.SZ,创业板ETF,1.886,11500,rotation
20200408,SELL,512880.SH,证券ETF,0.941,11300,rotation
20200408,SELL,512100.SH,中证1000ETF,0.74,15100,rotation
20200408,BUY,159928.SZ,消费ETF,3.178,13200,rotation
20200408,BUY,512010.SH,医药ETF,2.022,20800,rotation
20200512,SELL,512010.SH,医药ETF,2.119,20800,rotation
20200512,BUY,159949.SZ,创业板50ETF,0.789,30600,rotation
20200605,SELL,159949.SZ,创业板50ETF,0.81,30600,rotation
20200605,BUY,512010.SH,医药ETF,2.21,11000,rotation
20200707,SELL,159928.SZ,消费ETF,4.08,13200,rotation
20200707,SELL,512010.SH,医药ETF,2.536,11000,rotation
20200707,BUY,512880.SH,证券ETF,1.355,37000,rotation
20200707,BUY,159949.SZ,创业板50ETF,0.99,50700,rotation
20200807,SELL,512880.SH,证券ETF,1.27,37000,rotation
20200807,BUY,512010.SH,医药ETF,3.021,8600,rotation
20200907,SELL,159949.SZ,创业板50ETF,1.075,50700,rotation
20200907,SELL,512010.SH,医药ETF,2.838,8600,rotation
20200907,BUY,159928.SZ,消费ETF,4.72,10500,rotation
20200907,BUY,512880.SH,证券ETF,1.244,40100,rotation
20201015,SELL,512880.SH,证券ETF,1.245,40100,rotation
20201015,BUY,515030.SH,新能源车ETF,1.228,22400,rotation
20201015,BUY,159949.SZ,创业板50ETF,1.119,24600,rotation
20201106,SELL,159928.SZ,消费ETF,4.678,10500,rotation
20201207,SELL,159949.SZ,创业板50ETF,1.115,24600,rotation
20201207,BUY,510050.SH,上证50ETF,3.544,10400,rotation
20210108,SELL,510050.SH,上证50ETF,3.81,10400,rotation
20210108,BUY,159928.SZ,消费ETF,5.793,6600,rotation
20210205,SELL,159928.SZ,消费ETF,5.533,6600,rotation
20210205,BUY,159949.SZ,创业板50ETF,1.387,27000,rotation
20210205,BUY,159915.SZ,创业板ETF,3.102,12100,rotation
20210305,SELL,515030.SH,新能源车ETF,1.48,22400,rotation
20210305,SELL,159949.SZ,创业板50ETF,1.186,27000,rotation
20210305,SELL,159915.SZ,创业板ETF,2.706,12100,rotation
