factor,n,ic_raw,ir_raw,ic_neu,ir_neu,incr_ir,tag,n_incr,skip
liq_turn,82,0.09453853298130117,0.5212292978663903,0.0861417829272209,1.058660156084463,0.4393868473464069,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
earn_yoy,82,0.014172192080541638,0.1476822105343117,0.0026707060419421855,0.04676515855549481,0.36224575648085466,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
opmargin,82,0.0188245211095885,0.16846471063257717,0.015028361043461648,0.2085806440069475,0.33532342487514893,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
netmargin,82,0.019144899127918173,0.1727484054519954,0.01388438219467156,0.18830828783362896,0.32908116400216564,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
size_small,82,0.025946494919822524,0.15498162813522337,0.012045006275139604,0.10781278824090532,0.3258330734994099,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
growth_op,82,0.012673278105056402,0.14065493752376917,0.011461996970437288,0.13435828042671022,0.2877282171598066,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
div_size,82,0.047087264087455886,0.3361063535107669,0.041680962454350275,0.6288045634505544,0.2851463161229206,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
liq_amt,82,0.08556429663214164,0.549053345139684,0.03603033874335286,0.34824075184379893,0.22301031042689426,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
growth_combo,82,0.012682069113188468,0.1330704050208915,0.014770304040637885,0.17790405895416941,0.22073231799519477,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
rev10,82,0.0493225831197128,0.3816064661844224,0.04066813740656629,0.5162417376799965,0.21384123258022614,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
qval,82,0.035127032277848746,0.24735204231683205,0.035252411729641386,0.3482763892856085,0.20568016440147055,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
val_sp,82,0.03357525602538714,0.23994286593290876,0.029254624293137348,0.28594545398827687,0.19594918857719348,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
rev5,82,0.03989098778611736,0.32912742023596275,0.03241744272697403,0.4451348599295357,0.19285384496224262,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
rev60,82,0.07342574872807699,0.45908681586284283,0.04921662097690849,0.5192952021105381,0.1860995697910706,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
qual_aturn,82,0.008591244516841174,0.1267779284266008,0.010221961519783008,0.2570126415207976,0.18087867989011483,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
val_bp,82,0.04873690032967412,0.2744713750162983,0.0315881955718188,0.4849651182421004,0.1734842659645458,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
rev_combo,82,0.06381452430923637,0.4655413182289522,0.05262359214346675,0.6084707733929009,0.1649631817451465,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
gpm_value,82,0.019187766222055147,0.2209693472248644,0.025154933770092546,0.4284776289087575,0.10318302731431274,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
growth_rev,82,0.011468299199347857,0.12125973555812387,0.021638733431364597,0.34579962257733876,0.07565377498075831,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
val_div,82,0.04154748332629334,0.29683691093058245,0.04168097463515862,0.628804737656407,0.07502917264022539,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
lowlev,82,0.007584458441329677,0.08590587234580933,0.004462101909424871,0.09780851963776804,0.054775122673812265,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
qual_growth,82,0.01393215213888662,0.13255708044889147,0.027401162296557233,0.37461104340933704,0.04836443258713523,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
qual_roe,82,0.018597886438614868,0.13795813309808908,0.0263712368617559,0.2662660947726055,0.04634213693179269,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
qual_combo,82,0.011191173760228983,0.13448596659022352,0.011455799876462308,0.17286917540273233,0.018214926052102967,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
val_combo,82,0.03968117644366267,0.23449808457583618,0.028227673134438983,0.3686001057100934,-0.038610262027298926,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
mom120,82,-0.05967580130916239,-0.3545691485802179,-0.043267568772609975,-0.4447022386464876,-0.06496114109554475,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
qual_gpm,82,0.005039758354468013,0.05721859071535786,0.01190422157970327,0.21904315855922749,-0.06581579321990844,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
val_ep,82,0.037218094088963635,0.22227853734524716,0.027713794640088833,0.34983563151143127,-0.07045721854987928,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
mom20,82,-0.06573161144794187,-0.44561822335116746,-0.053217218393338955,-0.5958347608287305,-0.12676231074058542,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
mom60,82,-0.07342574872807699,-0.45908681586284283,-0.04921662097690849,-0.5192952021105381,-0.1860995697910706,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
cashqual,82,0.013700527551701267,0.3011741349807111,0.0015384096126949132,0.03510317073526989,-0.5926132284941741,candidate,82.0,"{'lt30': 0, 'linalg': 0, 'corr_nan': 0, 'ok': 82}"
F1_冷门研发股,82,0.0784724031225332,0.5786152331336706,,,,base,,
F2_质量股反转,82,0.09957140727733473,0.654191239954498,,,,base,,
