trade_date,nav_gross,nav_net,nav_hold
20120228,1000000.0,1000000.0,1018595.7798012047
20120229,1000000.0,1000000.0,1009738.4251942376
20120301,1000000.0,1000000.0,1017414.7991869424
20120302,1000000.0,1000000.0,1032177.0568652207
20120305,1000000.0,1000000.0,1019776.7604154667
20120306,1000000.0,1000000.0,1000881.0705872704
20120307,1000000.0,1000000.0,992023.7159803037
20120308,1000000.0,1000000.0,1005604.9930443197
20120309,1000000.0,1000000.0,996157.1481302216
20120312,1000000.0,1000000.0,986118.8129089922
20120313,1000000.0,1000000.0,994976.1675159594
20120314,1000000.0,1000000.0,973128.0261521073
20120315,1000000.0,1000000.0,959546.7490880912
20120316,1000000.0,1000000.0,968404.1036950581
20120319,1000000.0,1000000.0,965451.6521594027
20120320,1000000.0,1000000.0,948917.9235597309
20120321,1000000.0,1000000.0,950689.3944811242
20120322,1000000.0,1000000.0,956003.8072453045
20120323,1000000.0,1000000.0,945374.981716944
20120326,1000000.0,1000000.0,947146.4526383374
20120327,1000000.0,1000000.0,948917.9235597309
20120328,1000000.0,1000000.0,931793.704652928
20120329,1000000.0,1000000.0,919393.4082031742
20120330,1000000.0,1000000.0,927660.2725030101
20120405,1000000.0,1000000.0,929431.7434244035
20120406,1000000.0,1000000.0,944194.0011026817
20120409,1000000.0,1000000.0,930022.2337315346
20120410,1000000.0,1000000.0,937698.6077242394
20120411,1000000.0,1000000.0,934746.1561885837
20120412,1000000.0,1000000.0,964270.6715451403
20120413,1000000.0,1000000.0,962499.2006237468
20120416,1000000.0,1000000.0,955413.3169381733
20120417,1000000.0,1000000.0,944194.0011026817
20120418,1000000.0,1000000.0,960137.2393952225
20120419,1000000.0,1000000.0,966042.1424665337
20120420,1000000.0,1000000.0,979032.9292234186
20120423,1000000.0,1000000.0,969585.0843093207
20120424,1000000.0,1000000.0,989661.7547517791
20120425,1000000.0,1000000.0,995566.6578230903
20120426,1000000.0,1000000.0,979032.9292234186
20120427,1000000.0,1000000.0,977851.9486091563
20120502,1000000.0,1000000.0,990842.7353660414
20120503,1000000.0,1000000.0,981985.3807590742
20120504,1000000.0,1000000.0,986709.3032161235
20120507,1000000.0,1000000.0,980213.909837681
20120508,1000000.0,1000000.0,976670.967994894
20120509,1000000.0,1000000.0,954232.336323911
20120510,1000000.0,1000000.0,952460.8654025176
20120511,1000000.0,1000000.0,945965.4720240752
20120514,1000000.0,1000000.0,941241.5495670261
20120515,1000000.0,1000000.0,945965.4720240752
20120516,1000000.0,1000000.0,930612.7240386658
20120517,1000000.0,1000000.0,941241.5495670261
20120518,1000000.0,1000000.0,928250.7628101412
20120521,1000000.0,1000000.0,931203.2143457968
20120522,1000000.0,1000000.0,943013.0204884196
20120524,1000000.0,1000000.0,927660.2725030101
20120525,1000000.0,1000000.0,922345.8597388299
20120528,1000000.0,1000000.0,933565.1755743214
20120529,1000000.0,1000000.0,940651.059259895
20120530,1000000.0,1000000.0,927069.7821958789
20120531,1000000.0,1000000.0,926479.2918887478
20120601,1000000.0,1000000.0,931793.704652928
20120604,1000000.0,1000000.0,909355.072981945
20120605,1000000.0,1000000.0,901088.2086821091
20120606,1000000.0,1000000.0,904631.1505248959
20120607,1000000.0,1000000.0,898135.7571464535
20120608,1000000.0,1000000.0,874516.1448612082
20120611,1000000.0,1000000.0,873335.1642469458
20120612,1000000.0,1000000.0,857982.4162615363
20120613,1000000.0,1000000.0,876287.6157826014
20120614,1000000.0,1000000.0,864477.8096399789
20120615,1000000.0,1000000.0,895183.3056107978
20120618,1000000.0,1000000.0,898135.7571464535
20120619,1000000.0,1000000.0,900497.7183749779
20120620,1000000.0,1000000.0,899316.7377607158
20120621,1000000.0,1000000.0,879830.5576253884
20120625,1000000.0,1000000.0,872154.1836326835
20120626,1000000.0,1000000.0,879830.5576253884
20120627,1000000.0,1000000.0,877468.5963968637
20120628,1000000.0,1000000.0,869792.2224041591
20120629,1000000.0,1000000.0,895183.3056107978
20120702,1000000.0,1000000.0,894592.8153036666
20120703,1000000.0,1000000.0,893411.8346894043
20120704,1000000.0,1000000.0,902269.1892963712
20120705,1000000.0,1000000.0,896954.776532191
20120706,1000000.0,1000000.0,894002.3249965355
20120709,1000000.0,1000000.0,868611.2417898969
20120710,1000000.0,1000000.0,880421.0479325195
20120711,1000000.0,1000000.0,877468.5963968637
20120712,1000000.0,1000000.0,878649.5770111261
