trade_date,nav_gross,nav_net,nav_hold
20120215,1000000.0,1000000.0,1010437.282865885
20120216,1000000.0,1000000.0,994461.1697692375
20120217,1000000.0,1000000.0,993008.7958513603
20120220,1000000.0,1000000.0,990000.3070214723
20120221,1000000.0,1000000.0,995654.1912017792
20120222,1000000.0,1000000.0,999855.7014642092
20120223,1000000.0,1000000.0,1007895.6285096001
20120224,1000000.0,1000000.0,1027450.8059038732
20120227,1000000.0,1000000.0,1029629.3667806886
20120228,1000000.0,1000000.0,1041248.358123705
20120229,1017213.9303482587,1015892.9647262252,1060544.1830326428
20120301,1007860.6965174131,1006551.8771116049,1050792.52958404
20120302,999502.4875621891,998204.522221944,1042078.2860767776
20120305,994228.8557213931,992937.7387796579,1036580.0133876717
20120306,975373.1343283583,974106.503641673,1016921.0949992646
20120307,960845.7711442787,959598.0058572625,1001774.9098556896
20120308,967363.1840796021,966106.9552057481,1008569.9449714716
20120309,994676.6169154231,993384.9185058898,1037046.8478612751
20120312,997711.4427860697,996415.8033170166,1040210.9481823642
20120313,1003283.5820895523,1001980.7065767904,1046020.4438538724
20120314,988407.9601990051,987124.4023386441,1030511.1652308283
20120315,989701.4925373137,988416.2548810918,1031859.7981545713
20120316,1032786.0696517413,1031444.8818718434,1076779.6486146254
20120319,1033034.8258706467,1031693.3150530832,1077039.0010999606
20120320,1033582.0895522388,1032239.868051811,1077609.576567698
20120321,1020398.0099502489,1019072.9094460962,1063863.8948449332
20120322,1021641.7910447761,1020315.0753522954,1065160.657271609
20120323,1054825.8706467664,1053456.0617296991,1099758.278815323
20120326,1070646.7661691543,1069256.4120565571,1116253.0968826408
20120327,1002487.5621890548,1001185.7203968228,1045190.5159007998
20120328,1001990.0497512439,1000688.854034343,1044671.8109301295
20120329,1000746.2686567166,999446.6881281434,1043375.0485034535
20120330,979900.497512438,978627.9875402394,1021641.3102323649
20120405,1024875.6218905475,1023544.7067084145,1068532.2395809665
20120406,1034676.616915423,1033332.9740492667,1078750.7275031728
20120409,1041094.5273631843,1039742.5501252563,1085442.0216248208
20120410,1035373.1343283585,1034028.5869567386,1079476.9144621117
20120411,1039054.7263681593,1037705.398039089,1083315.3312450722
20120412,1056815.9203980102,1055443.5271796184,1101833.0986980044
20120413,1059850.746268657,1058474.4119907452,1104997.1990190938
20120416,1058855.721393035,1057480.6792657857,1103959.789077753
20120417,1045671.6417910449,1044313.7206600705,1090214.107354988
20120418,1063980.0995024876,1062598.4027993276,1109302.4502756577
20120419,1042189.0547263683,1040835.6561227118,1086583.1725602956
20120420,1057213.930348259,1055841.0202696023,1102248.0626745408
20120423,1053930.3482587065,1052561.7022772355,1098824.6098681162
20120424,1052338.3084577115,1050971.7299173002,1097164.753961971
20120425,1059303.4825870646,1057927.8589920173,1104426.6235513561
20120426,1078059.7014925375,1076659.7208575064,1123981.8009456294
20120427,1117213.930348259,1115763.1035846677,1164803.8821373875
20120502,1124278.6069651742,1122818.6059318811,1172169.4927209069
20120503,1127810.945273632,1126346.3571054877,1175852.2980126666
20120504,1164179.104477612,1162667.288202762,1213769.6313686706
20120507,1166716.4179104478,1165201.306651409,1216415.0267190896
20120508,1164726.368159204,1163213.8412014898,1214340.2068364082
20120509,1148407.9601990052,1146916.624512152,1197326.68379842
20120510,1132835.8208955224,1131364.7073665336,1181091.2182164371
20120511,1132786.0696517415,1131315.0207302857,1181039.3477193704
20120514,1105373.1343283586,1103937.6841576481,1152458.7038354329
20120515,1110000.0000000002,1108558.5413287105,1157282.6600626674
20120516,1094626.865671642,1093205.3707280841,1141254.6764689528
20120517,1094079.60199005,1092658.8177293565,1140684.1010012154
20120518,1084179.104477612,1082771.177116008,1130361.872084875
20120521,1110398.0099502488,1108956.0344186942,1157697.6240392034
20120522,1140696.5174129356,1139215.195893715,1189286.7567530293
20120523,1146616.9154228857,1145127.9056072247,1195459.3459040066
20120524,1095721.393034826,1094298.47672554,1142395.8274044276
20120525,1087462.6865671645,1086050.4951083749,1133785.3248912995
20120528,1121840.7960199006,1120383.96075573,1169627.838364622
20120530,1137611.9402985075,1136134.62444634,1186070.7859348727
20120531,1177512.4378109456,1175983.306717221,1227670.9245826367
20120601,1195870.6467661692,1194317.675492726,1246811.1380003735
20120604,1176766.1691542289,1175238.0071735012,1226892.867126631
20120605,1198009.9502487564,1196454.2008513894,1249041.5693742563
20120606,1177014.9253731347,1175486.4403547412,1227152.2196119665
20120607,1183980.0995024878,1182442.5694294586,1234414.0892013516
20120608,1188955.2238805972,1187411.2330542565,1239601.1389080551
20120611,1171890.5472636817,1170368.716821199,1221809.5584140616
20120612,1163432.8358208956,1161921.9886590424,1212991.5739126652
20120613,1189004.9751243782,1187460.9196905047,1239653.0094051224
20120614,1216865.6716417912,1215285.435989374,1268700.487762663
20120615,1210845.7711442786,1209273.3530033682,1262424.1576175515
20120618,1226169.154228856,1224576.8369677467,1278400.2707141992
20120619,1212437.8109452738,1210863.3253633038,1264084.013523697
20120620,1211741.2935323385,1210167.7124558322,1263357.8265647583
20120621,1192935.3233830847,1191386.1639540952,1243750.7786734183
20120625,1182089.5522388062,1180554.4772520352,1232443.0103128043
20120626,1183333.3333333335,1181796.643158235,1233739.77273948
20120627,1203482.5870646767,1201919.7308386671,1254747.3240516302
20120628,1174825.8706467662,1173300.2283598299,1224869.9177410165
20120629,1189800.9950248757,1188255.9058704723,1240482.937358195
20120702,1203233.8308457714,1201671.2976574274,1254487.971566295
20120703,1268358.2089552241,1266711.1045060349,1322386.4522270467
20120704,1286865.6716417912,1285194.533190284,1341682.2771359847
20120705,1271671.087073344,1270019.6804828122,1325840.4489847056
20120706,1313763.6729245756,1312057.6044215462,1369726.052338606
20120709,1287184.200946487,1285512.6488491884,1342014.3748306208
20120710,1265304.1413143342,1263661.0029122473,1319202.2904941996
20120711,1303758.4724461318,1302065.3968106587,1359294.6604249538
20120712,1293904.8659143308,1292224.5862847846,1349021.3199039327
20120713,1327457.6594380017,1325733.8077677612,1384003.3614729482
20120716,1325183.7502383552,1323462.8514925595,1381632.5905834818
20120717,1282282.6633383604,1280617.4764337535,1336904.0464688821
20120718,1237815.105656387,1236207.6648298088,1290542.3046304279
20120719,1244131.5200998492,1242515.876705369,1297127.77932339
20120720,1228315.21833342,1226720.114168966,1280637.7506922127
20120723,1225788.6525560352,1224196.829418742,1278003.560815028
20120724,1260149.9471284691,1258513.5020217902,1313828.5431447425
20120725,1291327.7688213983,1289650.835839556,1346334.4462292043
20120726,1265506.266576525,1263862.8656922653,1319413.0256843744
20120727,1260503.666337303,1258866.7618868214,1314197.3297275482
20120730,1262474.3876436632,1260834.9239919963,1316251.9978317525
20120731,1245293.7403574463,1243676.5876904724,1298339.5066668952
20120801,1228163.624386777,1226568.7170839526,1280479.6992995816
20120802,1223666.3373030317,1222077.2702285536,1275790.8413181924
20120803,1247921.3687659265,1246300.8038307054,1301079.0641391675
20120806,1257370.724773346,1255737.8887965437,1310930.934279839
20120807,1272883.8386464887,1271230.8571629198,1327104.8601257543
20120808,1277431.6570457816,1275772.7697133233,1331846.4019046873
20120809,1318463.0852705117,1316750.9140569633,1374625.6455101701
20120810,1254237.7832093886,1252609.0157062658,1307664.53883213
20120813,1253176.6255828869,1251549.2361111715,1306558.179083712
20120814,1250650.0598055022,1249025.9513609475,1303923.9892065271
20120815,1233621.0064659282,1232019.0121444368,1286169.549434301
20120816,1209113.3184252952,1207543.1500672626,1260617.9076256074
20120817,1160300.0676062198,1158793.2886929323,1209725.359198395
20120820,1175611.056217172,1174084.3942792905,1225688.5498541356
20120821,1191477.889299149,1189930.6225106982,1242231.2622828567
20120822,1173236.0843864302,1171712.50661408,1223212.4113695817
20120823,1153478.3400072807,1151980.4198673272,1202613.046529996
20120824,1171720.1449199994,1170198.5357639454,1221631.8974432708
20120827,1154640.5602648777,1153141.1308524301,1203824.7738735008
20120828,1139632.7595472117,1138152.819436099,1188177.6860030226
20120829,1107444.3115433287,1106006.1717182435,1154618.106967687
20120830,1100976.3031532234,1099546.5627576695,1147874.5808820934
20120831,1110476.1904761905,1109034.1134185123,1157779.1348203088
20120904,1179552.4988298924,1178020.7184896402,1229797.886062544
20120905,1182735.9717093974,1181200.0572749227,1233116.965307797
20120906,1171063.2378178793,1169542.4817288872,1220947.0080752028
20120907,1220836.583632361,1219251.1913083026,1272840.5486557453
20120910,1221240.8341567423,1219654.9168683384,1273262.019036095
20120911,1211387.2276249414,1209814.1063424645,1262988.6785150738
20120912,1214065.3873489695,1212488.7881777019,1265780.9197848898
20120913,1212650.510513634,1211075.7487175765,1264305.7734536664
20120914,1236804.479345433,1235198.3509297192,1289488.6286795537
20120917,1219320.64416593,1217737.2204581683,1271260.0347294344
20120918,1214419.1065578035,1212842.0480427335,1266149.7063676957
20120919,1170103.142822473,1168583.633523802,1219946.0159218726
20120920,1157369.2513044535,1155866.2783826722,1206669.6989408606
20120921,1165201.6052143464,1163688.4611083672,1214835.6875601336
20120924,1174145.6480662888,1172620.8891241606,1224160.7197253683
20120925,1205222.4071281224,1203657.2915519173,1256561.2552147424
20120926,1191882.1398235303,1190334.348070734,1242652.7326632063
20120927,1216238.2339175204,1214658.8130628946,1268046.3230792687
20120928,1242059.7361623938,1240446.7832101854,1294967.7436240986
20121008,1212448.3852514431,1210873.8859375585,1264095.0382634914
20121009,1233722.0690970237,1232119.9435344457,1286274.9170293882
20121010,1232054.5356839495,1230454.5755992976,1284536.3517104462
20121011,1222504.117045435,1220916.5592434506,1274579.1139746874
20121012,1230488.064901971,1228890.1390541587,1282903.1539865916
20121015,1241604.9543224643,1239992.5919551451,1294493.5894462052
20121016,1262322.79369702,1260683.526906983,1316093.9464391214
20121017,1257118.0681956073,1255485.5603215212,1310667.5152921204
20121018,1269447.7091892452,1267799.189902615,1323522.3618927829
20121019,1278442.2833567355,1276782.083613413,1332900.0778555612
20121022,1266011.579732002,1264367.5226423102,1319939.8636598114
20121023,1236501.2914521468,1234895.556759692,1289172.5258942917
20121024,1244485.2393086832,1242869.1365704006,1297496.5659061961
20121025,1243424.0816821812,1241809.3569753063,1296390.2061577782
20121026,1218259.4865394284,1216677.440863074,1270153.6749810167
20121029,1221948.27257441,1220361.4365984013,1273999.5922017067
20121030,1235894.9156655746,1234289.9684196385,1288540.3203237674
20121031,1249841.558756739,1248218.5002408756,1303081.048445828
20121101,1260251.0097595644,1258614.4334117991,1313933.9107398298
20121102,1254995.752942604,1253366.001131333,1308454.7957952851
20121105,1227506.7172846568,1225912.6630488944,1279794.8099315134
20121106,1192185.3277168167,1190637.1422407608,1242968.8354484686
20121107,1199967.150311162,1198408.8592714511,1251082.140270198
20121108,1182938.096971588,1181401.9200549405,1233327.7004979718
20121109,1186525.8203754746,1184984.9844002589,1237068.2501235744
20121112,1169597.8296669961,1168078.9765737571,1219419.1779464355
20121113,1152417.1823807792,1150920.6402722332,1201506.6867815782
20121114,1165504.7931076325,1163991.255278394,1215151.790345396
20121115,1148324.1458214156,1146832.91897687,1197239.2991805386
20121116,1133922.720890322,1132450.1959005923,1182224.4168805846
20121119,1081622.8092984557,1080218.2015709528,1127696.6864228572
20121120,1091274.2905680656,1089857.149316809,1137759.2917537035
20121121,1090718.446097041,1087342.154465372,1151931.2332929585
20121122,1090718.446097041,1087342.154465372,1144766.2368270152
20121123,1090718.446097041,1087342.154465372,1170792.0328136021
20121126,1090718.446097041,1087342.154465372,1143501.8256859668
20121127,1090718.446097041,1087342.154465372,1157779.1348203088
20121128,1090718.446097041,1087342.154465372,1150561.454556822
20121129,1090718.446097041,1087342.154465372,1155250.3125382112
20121130,1090718.446097041,1087342.154465372,1138022.710741422
20121203,1090718.446097041,1087342.154465372,1054676.9430272914
20121204,1090718.446097041,1087342.154465372,1037607.3926231334
20121205,1090718.446097041,1087342.154465372,1035974.1948992788
20121206,1090718.446097041,1087342.154465372,1023172.0320961602
20121207,1090718.446097041,1087342.154465372,1047301.2113711737
20121211,1090718.446097041,1087342.154465372,1065845.9081065555
20121212,1090718.446097041,1087342.154465372,1116158.9347607873
20121213,1090718.446097041,1087342.154465372,1083705.7154738693
20121214,1090718.446097041,1087342.154465372,1095401.5185285702
20121217,1090718.446097041,1087342.154465372,1112102.2823499227
20121218,1090718.446097041,1087342.154465372,1130225.5087049545
20121219,1090718.446097041,1087342.154465372,1156145.9370964542
20121220,1090718.446097041,1087342.154465372,1150614.1383543657
20121221,1090718.446097041,1087342.154465372,1141131.0547965001
20121224,1090718.446097041,1087342.154465372,1077805.1301489752
20121225,1090718.446097041,1087342.154465372,1078542.7033145868
20121226,1090718.446097041,1087342.154465372,1081334.944584403
20121227,1090718.446097041,1087342.154465372,1093610.2694120845
20121228,1090718.446097041,1087342.154465372,1118477.02185271
20121231,1090718.446097041,1087342.154465372,1101196.736258377
20130104,1090718.446097041,1087342.154465372,1090238.5063692876
20130107,1090718.446097041,1087342.154465372,1076277.3000202077
20130108,1090718.446097041,1087342.154465372,1110785.1874113302
20130109,1090718.446097041,1087342.154465372,1140340.7978333444
20130110,1090718.446097041,1087342.154465372,1130067.4573123234
20130111,1090718.446097041,1087342.154465372,1112997.9069081654
20130114,1090718.446097041,1087342.154465372,1103304.0881601248
20130115,1090718.446097041,1087342.154465372,1110837.8712088738
20130116,1090718.446097041,1087342.154465372,1085286.2294001803
20130117,1090718.446097041,1087342.154465372,1080702.7390138784
20130118,1090718.446097041,1087342.154465372,1073485.0587503917
20130121,1090718.446097041,1087342.154465372,1039504.0093347066
20130122,1090718.446097041,1087342.154465372,1047511.9465613486
20130123,1090718.446097041,1087342.154465372,1048302.2035245041
20130124,1090718.446097041,1087342.154465372,1032391.6966663073
20130125,1090718.446097041,1087342.154465372,995987.1925636121
20130128,1090718.446097041,1087342.154465372,940405.7861550105
20130129,1090718.446097041,1087342.154465372,938614.5370385249
20130130,1090718.446097041,1087342.154465372,948940.5613570897
20130131,1090718.446097041,1087342.154465372,942513.1380567584
20130201,1090718.446097041,1087342.154465372,942934.608437108
20130204,1090718.446097041,1087342.154465372,922651.3463827843
20130205,1090718.446097041,1087342.154465372,971647.2780984235
20130206,1090718.446097041,1087342.154465372,969013.0882212387
20130207,1090718.446097041,1087342.154465372,975545.8791166571
20130208,1090718.446097041,1087342.154465372,989717.820655912
20130218,1090718.446097041,1087342.154465372,946675.1580627107
20130219,1090718.446097041,1087342.154465372,937350.125897476
20130220,1090718.446097041,1087342.154465372,937244.7583023886
20130221,1090718.446097041,1087342.154465372,948413.7233816526
20130222,1090718.446097041,1087342.154465372,977758.5986134926
20130225,1090718.446097041,1087342.154465372,954050.8897188283
20130226,1090718.446097041,1087342.154465372,934452.5170325727
20130227,1090718.446097041,1087342.154465372,931291.4891799508
20130228,1090718.446097041,1087342.154465372,921966.4570147162
