entry_date,exit_date,hold_days,ret_g,ret_n,lag,chase,unclear,exit_cls,late_cls
20130109,20130410,58,0.2456140350877194,0.24175826803985734,-0.0018761726078799779,0.27884615384615397,30,提前结束(暂时反走),发现太晚
20130822,20131223,79,0.09760589318600377,0.09420828163437434,0.006487488415199305,0.19078947368421062,60,提前结束(暂时反走),发现太晚
20141203,20150206,45,0.04344512195121952,0.04021516371043221,0.054662379421221985,0.25430210325047775,29,提前结束(暂时反走),发现太晚
20150319,20150714,80,0.11018922246347662,0.10675265953123247,0.00454250486696961,0.1709531013615735,63,正确结束,发现太晚
20151110,20160126,54,-0.1937500000000001,-0.1962457266815958,0.06048053024026534,0.2981744421906696,47,正确结束,发现太晚
20160817,20161229,89,-0.04726890756302515,-0.050218062797481866,0.00210526315789461,0.06846240179573493,85,中性,及时
20170719,20180329,170,0.008341822213720818,0.005220525358070827,0.008256880733944927,0.2197558268590456,142,提前结束(暂时反走),发现太晚
20181026,20181130,25,-0.09477413640389698,-0.09757624039229673,0.04151291512915134,0.16632231404958664,20,提前结束(暂时反走),发现太晚
20190212,20190530,73,0.10000000000000009,0.09659497755069135,0.009009009009009139,0.22404371584699434,48,提前结束(暂时反走),发现太晚
20190708,20191206,103,0.11939218523878448,0.11592713476576688,-0.013561741613133393,0.20392931594666797,89,提前结束(暂时反走),发现太晚
20200102,20200325,53,-0.2264264264264264,-0.22882100404843542,0.00120631427117468,0.39798488664987364,43,提前结束(暂时反走),发现太晚
20200903,20210317,127,0.4001343307799696,0.3958002500269209,0.01591511936339529,0.14072970960536124,104,中性,发现太晚
20210524,20210714,36,-0.1056218057921634,-0.10839033109166374,-0.005084745762711895,0.1945777659423884,26,提前结束(暂时反走),发现太晚
20220413,20220513,19,-0.08747640025173065,-0.09030109419960974,-0.031097560975609673,0.2019667170953101,15,提前结束(暂时反走),发现太晚
20221202,20230404,81,-0.03805175038051756,-0.041029437094178944,0.011547344110854452,0.2683397683397686,60,提前结束(暂时反走),发现太晚
20230802,20231026,55,-0.14510779436152565,-0.14775409177237842,-0.01631321370309935,0.17087378640776696,45,提前结束(暂时反走),发现太晚
20240521,20240625,24,-0.054455144855798054,-0.05738205527270224,0.013428827215756556,0.125248508946322,15,提前结束(暂时反走),发现太晚
20250609,20260821,293,0.05815821683933664,0.05678408049946282,-0.00929054054054057,0.07713498622589521,254,期末持仓,及时
