date,nav_hold,nav_switch_A,nav_switch_B
20120228,1017578.2015996051,1017578.2015996051,1017578.2015996051
20120229,1008729.695498739,1008729.695498739,1008729.695498739
20120301,1016398.4007861563,1016398.4007861563,1016398.4007861563
20120302,1031145.9109542666,1031145.9109542666,1031145.9109542666
20120305,1018758.0024130538,1018758.0024130538,1018758.0024130538
20120306,999881.1893978728,999881.1893978728,999881.1893978728
20120307,991032.6832970068,991032.6832970068,991032.6832970068
20120308,1004600.3926516682,1004600.3926516682,1004600.3926516682
20120309,995161.9861440776,995161.9861440776,995161.9861440776
20120312,985133.6792297625,985133.6792297625,985133.6792297625
20120313,993982.1853306289,993982.1853306289,993982.1853306289
20120314,972155.8702818255,972155.8702818255,972155.8702818255
20120315,958588.1609271641,958588.1609271641,958588.1609271641
20120316,967436.6670280303,967436.6670280303,967436.6670280303
20120319,964487.1649944085,964487.1649944085,964487.1649944085
20120320,947969.9536061249,947969.9536061249,947969.9536061249
20120321,949739.654826298,949739.654826298,949739.654826298
20120322,955048.7584868177,955048.7584868177,955048.7584868177
20120323,944430.5511657784,944430.5511657784,944430.5511657784
20120326,946200.2523859516,946200.2523859516,946200.2523859516
20120327,947969.9536061249,947969.9536061249,947969.9536061249
20120328,930862.841811117,930862.841811117,930862.841811117
20120329,918474.9332699045,918474.9332699045,918474.9332699045
20120330,926733.5389640462,926733.5389640462,926733.5389640462
20120405,928503.2401842193,928503.2401842193,928503.2401842193
20120406,943250.7503523296,943250.7503523296,943250.7503523296
20120409,929093.1405909437,929093.1405909437,929093.1405909437
20120410,936761.8458783611,925654.9990386547,925654.9990386547
20120411,933812.343844739,925654.9990386547,925654.9990386547
20120412,963307.3641809594,925654.9990386547,925654.9990386547
20120413,961537.6629607863,925654.9990386547,925654.9990386547
20120416,954458.8580800933,925654.9990386547,925654.9990386547
20120417,943250.7503523296,925654.9990386547,925654.9990386547
20120418,959178.0613338888,925654.9990386547,925654.9990386547
20120419,965077.0654011327,925654.9990386547,925654.9990386547
20120420,978054.8743490697,925654.9990386547,940333.1059703374
20120423,968616.4678414793,925654.9990386547,931258.7213530124
20120424,988673.0816701092,925654.9990386547,950541.7886648286
20120425,994572.0857373531,925654.9990386547,956213.2790506567
20120426,978054.8743490697,925654.9990386547,940333.1059703374
20120427,976875.0735356208,925654.9990386547,939198.8078931718
20120502,989852.882483558,925654.9990386547,951676.0867419943
20120503,981004.3763826917,925654.9990386547,943168.8511632517
20120504,985723.5796364872,925654.9990386547,947706.0434719145
20120507,979234.6751625186,925654.9990386547,941467.4040475033
20120508,975695.272722172,925654.9990386547,938064.5098160062
20120509,953279.0572666446,925654.9990386547,916512.8463498584
20120510,951509.3560464713,925654.9990386547,914811.39923411
20120511,945020.4515725028,925654.9990386547,908572.7598096988
20120514,940301.2483187076,925654.9990386547,904035.5675010362
20120515,945020.4515725028,925654.9990386547,908572.7598096988
20120516,929683.0409976682,925654.9990386547,893826.8848065452
20120517,940301.2483187076,925654.9990386547,904035.5675010362
20120518,927323.4393707706,925654.9990386547,891558.2886522139
20120521,930272.9414043926,925654.9990386547,894394.033845128
20120522,942070.9495388807,925654.9990386547,905737.0146167846
20120524,926733.5389640462,925654.9990386547,890991.1396136311
20120525,921424.4353035265,925654.9990386547,885886.7982663856
20120528,932632.5430312903,925654.9990386547,896662.6299994594
20120529,939711.3479119831,925654.9990386547,903468.4184624533
20120530,926143.6385573217,925654.9990386547,890423.9905750483
20120531,925553.7381505973,925654.9990386547,889856.8415364653
20120601,930862.841811117,925654.9990386547,894961.1828837108
20120604,908446.6263555895,925654.9990386547,883726.782114912
20120605,900188.0206614478,925654.9990386547,883726.782114912
20120606,903727.4231017942,925654.9990386547,883726.782114912
20120607,897238.5186278258,925654.9990386547,883726.782114912
20120608,873642.5023588494,925654.9990386547,883726.782114912
20120611,872462.7015454004,925654.9990386547,883726.782114912
20120612,857125.2909705659,925654.9990386547,883726.782114912
20120613,875412.2035790224,925654.9990386547,883726.782114912
20120614,863614.1954445345,925654.9990386547,883726.782114912
20120615,894289.0165942038,925654.9990386547,883726.782114912
20120618,897238.5186278258,925654.9990386547,883726.782114912
20120619,899598.1202547234,925654.9990386547,883726.782114912
20120620,898418.3194412746,925654.9990386547,883726.782114912
20120621,878951.6060193691,925654.9990386547,883726.782114912
20120625,871282.9007319516,925654.9990386547,883726.782114912
20120626,878951.6060193691,925654.9990386547,883726.782114912
20120627,876592.0043924713,925654.9990386547,883726.782114912
20120628,868923.2991050542,925654.9990386547,883726.782114912
20120629,894289.0165942038,925654.9990386547,883726.782114912
20120702,893699.1161874793,925654.9990386547,883726.782114912
20120703,892519.3153740305,925654.9990386547,883726.782114912
20120704,901367.8214748964,925654.9990386547,883726.782114912
20120705,896058.7178143768,925654.9990386547,880261.1626823581
20120706,893109.2157807549,925654.9990386547,877363.660501047
20120709,867743.4982916054,925654.9990386547,852445.1417417703
20120710,879541.5064260935,925654.9990386547,864035.1504670153
20120711,876592.0043924713,925654.9990386547,861137.6482857038
20120712,877771.8052059202,925654.9990386547,862296.6491582285
20120713,883670.8092731644,925654.9990386547,868091.653520851
20120716,876002.1039857469,925654.9990386547,860558.1478494416
