date,nav_hold,nav_switch_A,nav_switch_B
20120215,1009427.8550108742,1009427.8550108742,1009427.8550108742
20120216,993467.7020671705,993467.7020671705,993467.7020671705
20120217,992016.7790722882,992016.7790722882,992016.7790722882
20120220,989011.2957257467,989011.2957257467,989011.2957257467
20120221,994659.5316701093,994659.5316701093,994659.5316701093
20120222,998856.8446195899,998856.8446195899,998856.8446195899
20120223,1006888.7397698304,1006888.7397698304,1006888.7397698304
20120224,1026424.381522351,1026424.381522351,1026424.381522351
20120227,1028600.7660146741,1028600.7660146741,1028600.7660146741
20120228,1040208.1499737315,1040208.1499737315,1040208.1499737315
20120229,1059484.6983343086,1059484.6983343086,1059484.6983343086
20120301,1049742.786797243,1049742.786797243,1049742.786797243
20120302,1041037.2488279497,1041037.2488279497,1041037.2488279497
20120305,1035544.4689187531,1035544.4689187531,1035544.4689187531
20120306,1015905.1898094553,1015905.1898094553,1015905.1898094553
20120307,1000774.1357199699,1000774.1357199699,1000774.1357199699
20120308,1007562.3825888828,1007562.3825888828,1007562.3825888828
20120309,1036010.837024251,1036010.837024251,1036010.837024251
20120312,1039171.7764059583,1039171.7764059583,1039171.7764059583
20120313,1044975.4683854871,1044975.4683854871,1044975.4683854871
20120314,1029481.6835472812,1029481.6835472812,1029481.6835472812
20120315,1030828.9691853862,1030828.9691853862,1030828.9691853862
20120316,1075703.9446699556,1075703.9446699556,1075703.9446699556
20120319,1075963.038061899,1075963.038061899,1075963.038061899
20120320,1076533.043524174,1076533.043524174,1076533.043524174
20120321,1062801.0937511823,1062801.0937511823,1062801.0937511823
20120322,1064096.5607108984,1064096.5607108984,1064096.5607108984
20120323,1098659.6191961272,1098659.6191961272,1098659.6191961272
20120326,1115137.9589237173,1115137.9589237173,1115137.9589237173
20120327,1044146.3695312687,1044146.3695312687,1044146.3695312687
20120328,1043628.1827473823,1043628.1827473823,1043628.1827473823
20120329,1042332.715787666,1042332.715787666,1042332.715787666
20120330,1020620.6895428223,1020620.6895428223,1020620.6895428223
20120405,1067464.7748061607,1067464.7748061607,1067464.7748061607
20120406,1077673.0544487243,1077673.0544487243,1077673.0544487243
20120409,1084357.66396086,1084357.66396086,1084357.66396086
20120410,1078398.5159461657,1078398.5159461657,1078398.5159461657
20120411,1082233.0981469254,1082233.0981469254,1082233.0981469254
20120412,1100732.366331673,1100732.366331673,1100732.366331673
20120413,1103893.3057133807,1103893.3057133807,1103893.3057133807
20120416,1102856.9321456077,1102856.9321456077,1102856.9321456077
20120417,1089124.9823726157,1089124.9823726157,1089124.9823726157
20120418,1108194.2560196384,1108194.2560196384,1108194.2560196384
20120419,1085497.6748854103,1085497.6748854103,1085497.6748854103
20120420,1101146.915758782,1101146.915758782,1101146.915758782
20120423,1097726.8829851313,1097726.8829851313,1097726.8829851313
20120424,1096068.6852766946,1096068.6852766946,1096068.6852766946
20120425,1103323.3002511053,1103323.3002511053,1103323.3002511053
20120426,1122858.942003626,1122858.942003626,1122858.942003626
20120427,1163640.2418954924,1163640.2418954924,1163640.2418954924
20120502,1170998.4942266804,1170998.4942266804,1170998.4942266804
20120503,1174677.6203922746,1174677.6203922746,1174677.6203922746
20120504,1212557.0742943767,1212557.0742943767,1212557.0742943767
20120507,1215199.8268921976,1215199.8268921976,1215199.8268921976
20120508,1213127.0797566518,1213127.0797566518,1213127.0797566518
20120509,1196130.5532451752,1196130.5532451752,1196130.5532451752
20120510,1179911.3069095279,1179911.3069095279,1179911.3069095279
20120511,1179859.4882311393,1179859.4882311393,1179859.4882311393
20120514,1151307.3964389942,1151307.3964389942,1151307.3964389942
20120515,1156126.5335291384,1156126.5335291384,1156126.5335291384
20120516,1140114.561907046,1140114.561907046,1140114.561907046
20120517,1139544.556444771,1139544.556444771,1139544.556444771
20120518,1129232.6394454297,1129232.6394454297,1129232.6394454297
20120521,1156541.0829562475,1156541.0829562475,1156541.0829562475
20120522,1188098.6580949347,1188098.6580949347,1188098.6580949347
