sell_i,sell_date,buy_i,buy_date,days,avoided
27,20120410,211,20130109,184,0.0061672719180969615
269,20130410,359,20130822,90,-0.08894620382406326
438,20131223,668,20141203,230,0.3340612231487021
713,20150206,737,20150319,24,0.12435233160621761
817,20150714,895,20151110,78,-0.0807498197548665
949,20160126,1086,20160817,137,0.17870538268745184
1175,20161229,1308,20170719,133,0.22136563876651993
1478,20180329,1618,20181026,140,0.0281533354765493
1643,20181130,1688,20190212,45,0.08011583011583001
1761,20190530,1787,20190708,26,0.12382628820808406
1890,20191206,1908,20200102,18,0.08141421874482546
1961,20200325,2071,20200903,110,0.17766095641764124
2198,20210317,2242,20210524,44,0.11625403506220344
2278,20210714,2458,20220413,180,-0.23892100192678223
2477,20220513,2615,20221202,138,-0.10115302138952953
2696,20230404,2776,20230802,80,-0.025834817631416596
2831,20231026,2967,20240521,136,0.10951008645533133
2991,20240625,3221,20250609,230,0.1871097572292837
