sell_i,sell_date,buy_i,buy_date,days,avoided
187,20121121,297,20130514,110,-0.1255888406128517
354,20130806,483,20140220,129,-0.14974604805113267
542,20140519,584,20140717,42,0.17435403272029126
659,20141107,680,20141208,21,0.16840043231559054
815,20150629,904,20151110,89,0.009392958091442916
1489,20180402,1522,20180523,33,0.0642884451371939
1584,20180820,1698,20190213,114,0.14032536204632362
2242,20210511,2345,20211013,103,-0.005540608404214997
2368,20211115,2388,20211213,20,0.20274367739078092
2426,20220211,2481,20220506,55,-0.03079509397449698
2542,20220802,2624,20221202,82,-0.13090564793242465
2836,20231020,3177,20250319,341,0.04266214396839674
3236,20250617,3300,20250915,64,0.08254147821989832
3451,20260508,3511,20260804,60,-0.009608120304720136
