sell_i,sell_date,buy_i,buy_date,days,avoided
27,20120410,35,20120420,8,0.044080604534004975
63,20120604,85,20120705,22,-0.01363636363636378
141,20120921,160,20121025,19,0.03324772188111602
269,20130410,288,20130510,19,0.04072164948453616
327,20130709,340,20130726,13,0.07111111111111135
438,20131223,460,20140123,22,-0.02092050209205032
493,20140318,505,20140403,12,0.0375722543352599
713,20150206,721,20150225,8,0.021465581051073324
817,20150714,875,20151013,58,-0.19754866618601286
949,20160126,971,20160303,22,0.024316109422492405
1175,20161229,1189,20170119,14,0.011013215859030812
1261,20170511,1272,20170526,11,0.04597701149425304
1478,20180329,1495,20180425,17,0.057013574660633504
1529,20180614,1556,20180724,27,-0.05141392225842023
1643,20181130,1674,20190116,31,0.01158301158301156
1761,20190530,1769,20190612,8,0.02864157119476274
1890,20191206,1898,20191218,8,0.055128205128205154
1961,20200325,1978,20200420,17,0.009324009324009452
2198,20210317,2207,20210330,9,0.034433962264150964
2278,20210714,2304,20210819,26,-0.020231213872832332
2406,20220120,2408,20220124,2,-0.007501442585112428
2430,20220302,2453,20220406,23,0.04528061224489788
2477,20220513,2500,20220616,23,-0.0116358658453114
2536,20220805,2554,20220831,18,0.035743298131600154
2587,20221025,2602,20221115,15,0.12769953051643168
2696,20230404,2705,20230418,9,0.02766798418972316
2831,20231026,2887,20240115,56,-0.11527377521613824
2991,20240625,2997,20240703,6,0.022812552740977043
