sell_i,sell_date,buy_i,buy_date,days,avoided
187,20121121,206,20121219,19,0.0036588154584953347
229,20130124,255,20130308,26,-0.060369463155746095
277,20130411,282,20130418,5,0.06056121240824064
354,20130806,364,20130820,10,-0.009244992295839638
387,20130924,405,20131025,18,-0.0005116959064328519
444,20131219,466,20140121,22,-0.03171940526115136
542,20140519,563,20140618,21,0.03784295175023655
659,20141107,666,20141118,7,0.05140502566873817
815,20150629,825,20150713,10,0.04504541031462872
856,20150825,874,20150922,18,0.12843309360665978
1489,20180402,1511,20180508,22,0.04230509072728883
1584,20180820,1607,20180920,23,0.052387316445471344
2242,20210511,2247,20210518,5,0.05120469627360902
2283,20210708,2332,20210915,49,-0.1860251889168767
2368,20211115,2375,20211124,7,0.1021270313546907
2426,20220211,2432,20220221,6,0.014605642253658013
2453,20220322,2463,20220407,10,0.041297935103244754
2542,20220802,2564,20220901,22,0.0004840477026351042
2836,20231020,2847,20231106,11,0.1015197568389059
2881,20231222,2889,20240104,8,-0.0009876395414959438
2989,20240607,3017,20240718,28,-0.05602813178368238
3062,20240923,3066,20240927,4,0.29143744946652506
3236,20250617,3255,20250714,19,0.01716457553550743
3451,20260508,3499,20260716,48,-0.06132865140657617
