entry_i,entry_date,entry_px_g,entry_px,first_cond_i,cash_before_g,cash_before_n,unclear,exit_i,exit_date,exit_px_g,exit_px,hold_days,ret_n,ret_g,lag,chase,exit_cls,late_cls,code,regime,near_turning_entry,near_turning_exit,top_drawback,missed,open_at_end
10,20120229,1038.366,1039.404366,7,1000000.0,1000000.0,143,187,20121121,1132.56495,1131.43238505,177,0.08734215446537208,0.09071844609704094,0.014741518578351931,0.05583863003624501,提前结束(暂时反走),及时,600519.SH,震荡段,False,True,-0.17825466025255554,0.019894809055568174,
297,20130514,1028.9367,1029.9656366999998,294,1090718.446097041,1087342.154465372,49,354,20130806,942.52667,941.58414333,57,-0.08681544520706075,-0.08397992801695198,-0.005477228927883271,0.22218759738236216,提前结束(暂时反走),发现太晚,600519.SH,混合,True,True,-0.12644615077764054,0.040575243965074614,
483,20140220,810.1405,810.9506404999998,480,999119.9895070498,992944.0612330561,43,542,20140519,826.3974999999999,825.5711024999999,59,0.016909298123930494,0.02006688963210701,-0.0032004267235630213,0.26641253706056767,中性,发现太晚,600519.SH,上升段,False,True,-0.17605790645879726,0.05372347614542505,
584,20140717,943.80125,944.7450512499998,581,1019169.2200657196,1009734.0483848322,60,659,20141107,901.4162499999999,900.5148337499999,75,-0.04786528034893889,-0.044908819521059296,0.02884422781598439,0.14431804045676655,提前结束(暂时反走),发现太晚,600519.SH,混合,True,True,-0.12454169130691894,0.20886246960281007,
680,20141208,1034.145,1035.1791449999998,677,973399.5335003694,961402.8450810232,92,815,20150629,1521.2662500000001,1519.74498375,135,0.4664841085388276,0.4710376687988629,0.024328095613662448,0.16041237113402063,提前结束(暂时反走),发现太晚,600519.SH,上升段,False,True,-0.14951724137931044,0.14742134284787567,
904,20151110,1508.54,1510.0485399999998,901,1431907.380570284,1409881.9942153369,439,1489,20180402,4835.48,4830.64452,585,2.1954816529689856,2.205403900460047,0.015884743258219425,0.1252621349291596,提前结束(暂时反走),发现太晚,600519.SH,上升段,False,True,-0.14892498685956002,0.05105431873658217,
1522,20180523,5262.139999999999,5267.402139999999,1519,4589841.502777518,4505252.045366434,47,1584,20180820,4561.1029100000005,4556.5418070900005,62,-0.135905899466784,-0.13322281239191636,0.0009197641075580076,0.18285664673978919,提前结束(暂时反走),发现太晚,600519.SH,震荡段,True,True,-0.18614805094817477,0.07600806484936862,
1698,20190213,5214.276,5219.4902759999995,1695,3978369.909344357,3892961.7138163405,414,2242,20210511,13889.904,13876.014096,544,1.6555763734132376,1.663822168216642,0.04378708475897608,0.24222535308065019,提前结束(暂时反走),发现太晚,600519.SH,上升段,True,True,-0.25453217041874066,0.18427769270035732,
2345,20211013,13976.380000000001,13990.35638,2342,10597669.957877532,10338057.14981298,16,2368,20211115,13256.484320000001,13243.227835680002,23,-0.05444405455415202,-0.05150802139037425,0.016525331593824966,0.2213441316700413,提前结束(暂时反走),发现太晚,600519.SH,震荡段,True,False,-0.09682812379804617,0.23783458441691163,
2388,20211213,16098.996000000001,16115.094996,2385,10051804.946999049,9775211.402364621,25,2426,20220211,13879.218,13865.338782,38,-0.1405516699115248,-0.137883008356546,0.05433186490455233,0.24149855907780982,正确结束,发现太晚,600519.SH,震荡段,False,True,-0.16553749278290986,0.03324918782466746,
2481,20220506,13565.235260000001,13578.80049526,2478,8665831.841493608,8401289.116024096,46,2542,20220802,14202.648,14188.445351999999,61,0.04374777049290168,0.046988697783926,-0.010904632152588523,0.09238037917544406,提前结束(暂时反走),发现太晚,600519.SH,震荡段,True,True,-0.09485796822339909,0.03165991127565193,
2624,20221202,12351.770999999999,12364.122770999997,2621,9073027.994939875,8768826.78411643,180,2836,20231020,12661.84,12649.17816,212,0.02193002051361681,0.025103201799968833,0.022514071294559068,0.20309050772626924,提前结束(暂时反走),发现太晚,600519.SH,震荡段,True,False,-0.14987080103359185,0.12462006079027366,
3177,20250319,13230.491766000001,13243.722257766,3174,9300790.047633616,8961127.335372455,53,3236,20250617,11566.468,11554.901532,59,-0.12847802697459354,-0.12577187571184956,-0.0022849982493964305,0.15923007750610196,中性,发现太晚,600519.SH,震荡段,True,True,-0.13410194174757284,0.04174343293816363,
3300,20250915,12589.30035,12601.889650349998,3297,8131012.237740634,7809819.375855706,147,3451,20260508,11585.589024,11574.003434976,151,-0.08257601278455229,-0.07972733178933156,-0.004034139066103393,0.12744459764644045,正确结束,发现太晚,600519.SH,震荡段,True,False,-0.12436862244897962,-7.283374241617846e-05,
3511,20260804,11673.023777999999,11684.696801777998,3508,7482748.327279171,7164915.63123,11,3523,20260821,11005.270029,11005.270029,12,-0.05842918949386544,-0.057204864968964264,-0.008591822347550293,0.1575283153138476,期末持仓,发现太晚,600519.SH,震荡段,True,False,-0.06407494282962134,,True
211,20130109,577.32108,577.89840108,208,1000000.0,1000000.0,30,269,20130410,719.11924,718.4001207599999,58,0.24175826803985734,0.2456140350877194,-0.0018761726078799779,0.27884615384615397,提前结束(暂时反走),发现太晚,000001.SZ,上升段,False,True,-0.2148927559692433,0.07577319587628861,
